mediaID	Credit	fileLocation	URL	Caption	Type	extension	Description	width	height	orientation	exptID	forWWW	isReviewed	isGalleries
	eRA curators	metadata/NorthWyke/Land-Use.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/Land-Use.jpg	Land Use	Other	jpg	 Describe Here	400	564	Portrait	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/North-Wyke-Farm-map.png	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/North-Wyke-Farm-map.png	North Wyke Farm map	Other	png	 Describe Here	616	874	Portrait	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/chambers.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/chambers.jpg	chambers	Other	jpg	 Describe Here	750	503	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/ewes-and-lambs.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ewes-and-lambs.jpg	ewes and lambs	Other	jpg	 Describe Here	750	503	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/flume-lab.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flume-lab.jpg	flume lab	Other	jpg	 Describe Here	750	496	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/flumes-waterflow.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flumes-waterflow.jpg	flumes waterflow	Other	jpg	 Describe Here	750	1117	Portrait	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/herbage.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/herbage.jpg	herbage	Other	jpg	 Describe Here	750	496	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/measure-station.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/measure-station.jpg	measure station	Other	jpg	 Describe Here	750	496	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/NorthWyke/yearling-cattle.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/yearling-cattle.jpg	yearling cattle	Other	jpg	 Describe Here	750	496	Landscape	NorthWyke	0	0	0
	eRA curators	metadata/broomsbarn/Brooms-Barn-Plan-1990.jpg	 http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/broomsbarn/Brooms-Barn-Plan-1990.jpg	Brooms Barn Plan 1990	Other	jpg	 Describe Here	509	738	Portrait	broomsbarn	0	0	0
