mediaID,Credit,fileLocation,URL,Caption,Type,extension,Description,width,height,orientation,exptID,forWWW,isReviewed,isGalleries
,eRA curators,metadata/rms/Bob_Norrish_Weather_instruments.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Bob_Norrish_Weather_instruments.jpg,Bob_Norrish_Weather_instruments,Other,jpg, ,750,1169,Portrait,rms,0,0,0
,eRA curators,metadata/rms/RothGEtempprobes.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/RothGEtempprobes.jpg,RothGEtempprobes,Other,jpg, ,750,563,Landscape,rms,0,0,0
,eRA curators,metadata/rms/RothStevensonScreen.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/RothStevensonScreen.jpg,RothStevensonScreen,Other,jpg, ,750,1000,Portrait,rms,0,0,0
,eRA curators,metadata/rms/Rothamsted_MET_Weather_Station.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Rothamsted_MET_Weather_Station.jpg,Rothamsted_MET_Weather_Station,Other,jpg, ,750,500,Landscape,rms,0,0,0
,eRA curators,metadata/rms/Rothamsted_Rain_and_Drain_Gauges_The_Gardeners_Chronicle_September_22-1877_etching.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Rothamsted_Rain_and_Drain_Gauges_The_Gardeners_Chronicle_September_22-1877_etching.jpg,Rothamsted_Rain_and_Drain_Gauges_The_Gardeners_Chronicle_September_22 1877_etching,Other,jpg, ,750,663,Landscape,rms,0,0,0
,eRA curators,metadata/rms/Rothgrassmin.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Rothgrassmin.jpg,Rothgrassmin,Other,jpg, ,750,563,Landscape,rms,0,0,0
,eRA curators,metadata/rms/Soildrains.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Soildrains.jpg,Soildrains,Other,jpg, ,750,1000,Portrait,rms,0,0,0
,eRA curators,metadata/rms/TonyScottCentennialpresentation.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/TonyScottCentennialpresentation.jpg,TonyScottCentennialpresentation,Other,jpg, ,604,396,Landscape,rms,0,0,0
,eRA curators,metadata/rms/Tony_Scott_recording_2017.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/Tony_Scott_recording_2017.jpg,Tony_Scott_recording_2017,Other,jpg, ,750,1000,Portrait,rms,0,0,0
,eRA curators,metadata/rms/ty_new-thousand-acre-gauge.jpg, http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/rms/ty_new-thousand-acre-gauge.jpg,ty_new thousand acre gauge,Other,jpg, ,750,563,Landscape,rms,0,0,0
