harvest_year,strip,section,plot,section_1926-67,fertilizer_code,cropping,previous_crop,fym_factor_level,fym_applied,fym_date,castor_meal_factor_level,castor_meal_n_applied,castor_meal_date,n_factor_level,spring_n_kg/ha,spring_n_date,total_fertilizer_n_amount,p_factor_level,p_amount,p_date,k_factor_level,k_amount,k_date,na_factor_level,na_amount,na_date,mg_factor_level,mg_amount,mg_date,sow_date,harvest_date,cultivar,tgw,grain,straw,note
1968,1,2,1\2,II,FYM N2 PK,spring beans,winter wheat,FYM,35,1967-09-18,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,K,90,1967-09-19,nil,0,1967-09-19,nil,0.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.200,1.410,*
1968,21,2,21\2,II,FYM N2,spring beans,winter wheat,FYM,35,1967-09-18,nil,0,*,N2,96,1968-03-26,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1968-03-04,1968-09-06,Maris Bead,*,4.540,2.910,10
1968,22,2,22\2,II,FYM,spring beans,winter wheat,FYM,35,1967-09-18,nil,0,*,nil,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1968-03-04,1968-09-06,Maris Bead,*,5.270,3.860,11
1968,3,2,3\2,II,Nil,spring beans,winter wheat,nil,0,*,nil,0,*,nil,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1968-03-04,1968-09-06,Maris Bead,*,1.330,0.900,*
1968,5,2,5\2,II,PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,nil,0,*,0,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,4.010,2.640,*
1968,6,2,6\2,II,N1PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N1,48,1968-03-26,48,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,4.310,2.860,*
1968,7,2,7\2,II,N2PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,4.620,2.950,*
1968,8,2,8\2,II,N3PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N3,144,1968-03-26,144,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,4.650,2.900,*
1968,9,2,9\2,II,N4PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N4,192,1968-03-26,192,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,4.450,2.320,*
1968,10,2,10\2,II,N2,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0.000,*,1968-03-04,1968-09-06,Maris Bead,*,0.760,0.680,*
1968,11,2,11\2,II,N2P,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,nil,0,*,nil,0,1967-09-19,nil,0.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,0.500,0.650,*
1968,12,2,12\2,II,N2PNa*,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,nil,0,*,Na*,57,1967-09-19,nil,0.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,0.550,0.910,*
1968,13,2,13\2,II,N2PK,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,K,90,1967-09-19,nil,0,1967-09-19,nil,0.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.480,2.150,*
1968,14,2,14\2,II,N2PKMg*,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,K,90,1967-09-19,nil,0,1967-09-19,Mg*,31.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,2.010,1.460,*
1968,15,2,15\2,II,N3PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N3,144,1968-03-26,144,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.920,2.250,*
1968,16,2,16\2,II,N2PKNaMg,spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,P,35.000,1967-09-19,K,90,1967-09-19,Na,16,1967-09-19,Mg,11.000,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.630,2.470,*
1968,17,2,17\2,II,N2 1/2[PKNaMg],spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,1/2 P,17.500,1967-09-19,1/2 K,45,1967-09-19,1/2 Na,8,1967-09-19,1/2 Mg,5.500,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.530,1.830,*
1968,18,2,18\2,II,N2 1/2[PKNaMg],spring beans,winter wheat,nil,0,*,nil,0,*,N2,96,1968-03-26,96,1/2 P,17.500,1967-09-19,1/2 K,45,1967-09-19,1/2 Na,8,1967-09-19,1/2 Mg,5.500,1967-09-19,1968-03-04,1968-09-06,Maris Bead,*,3.340,1.630,*
