notes_id,description
1,"Weed seed yields not measured in 1991, 1995, 1996, 1997 therefore no cleaned yields in these years."
2,"Section 8 (continuous wheat with no herbicides) was fallowed in this harvest year to control weeds, no N applied. FYM, castor bean meal and PKNaMg applied as usual. "
3,Na rate to plot 12 changed from 57 to 55 in 1974. 
4,"2005, plot 14 clean grain yield estimated from mean % clean grain on plots 9-16"
6,"Strip 17 and 18 N rate changed in 1980 to alternating N1+3 (N1 in autumn, N3 in spring) and N0+3 (N3 in spring only). No N in fallow years. Potatoes and maize did not receive autumn N. "
8,Strip 15 changed from N3 to N5 in 1985
9,Strip 16 changed from N2 to N6 in 1985
10,Caster bean meal no longer applied to strip 19 after 1988
13,"Strip 12 received K2 (180 kgK) 2001-2005 plus 450kgK in the autumn of 2000, and Mg2 (24kgMg) 2001-2005 plus 60 kg Mg in the autumn of 2000.  "
14,"N rate changed from N2 (96 kg N) to N4 (192 kgN) in 2001 in strips 10, 11, 13, 14 and 20. "
15,"Strip 17 and 18 N rate changed in 2001, and received full PKMg (previously half rate since 1968).  "
16,Strip 19 changed from residual castor bean meal to N1+1+1 KMg in 2001
17,"Strip 1 FYM no longer applied from 2001, shown as (FYM), ie residual FYM. PK no longer applied  (see note 7)."
19,"In 2005, strip 2.1 changed from FYM N2 to FYM N3"
20,In 2006 strip 12 changed to N1+3+1 (P)KMg
25,"2018 1st and 2nd split N applied on same date, 19/04/2018 strips 12, 17-19"
26,"In 2010 date of application of Mg and K* not in Yield Book. Assumed K* same as P fertilizer and Mg same as K, as in previous years. "
27,In 2012 date of application of Mg and K not in Yield Book. Assumed same as P and K* as in previous years.
28,2013 wheat crop very late sown due to wet autumn and winter delaying sowing. 
29,"2015 and 2020  spring wheat sown, as wet autumn and winter delayed sowing"
30,"2004 Section 8 strips 2.1, 2.2, 17-19 not harvested as the crop was badly laid (flattened). "
38,"Mg applied every third year (except strip 14) harvest years 1974-2000, ie autumn 1973, 1976, 1979…1994, 1997. 2001 onwards applied annually. Details from White Books, 1993-2001. Assume same pattern for earlier years (1974-1992), as details could not be found in records.  "
39,"Mg rate every third year 30kg/ha instead of 35, in harvest years 1992, 1995, 1998. "
42,2021 Section 8 plot 15 grain yield missing.
44,"From 2021 no P applied to strips 11, 13 and 14, as after a review of soil P it was concluded that these strips had sufficient reserves of plant-available soil P. Shown as (P*) to indicate P no longer applied"
45,"Strip 21 also known as 2.1, 2a and 2A. Received FYM since 1885."
46,"Strip 22, originally strip 2 started in 1843, but renamed 22 in 1885 when strip 21 was started. Also known as strip 2.2, 2b and 2B. Received FYM since 1843"
