harvest_year,strip,section,plot,section_1926-67,fertilizer_code,cropping,year_of_wheat,previous_crop,fym_factor_level,fym_applied,fym_date,castor_meal_factor_level,castor_meal_n_applied,castor_meal_date,n_factor_level,n_timing,autumn_n_kg/ha,autumn_n_date,spring1_n_kg/ha,spring1_n_date,spring2_n_kg/ha,spring2_n_date,spring3_n_kg/ha,spring3_n_date,total_fertilizer_n_amount,p_factor_level,p_amount,p_date,k_factor_level,k_amount,k_date,na_factor_level,na_amount,na_date,mg_factor_level,mg_amount,mg_date,survey_date,Aethusa cynapium,Agrostis gigantea,Alopecurus myosuroides,Anagallis arvensis,Aphanes arvensis,Arenaria serpyllifolia,Atriplex patula,Avena fatua,Hordeum vulgare,Bromus commutatus,Bromus secalinus,Capsella bursa-pastoris,Cerastium fontanum,Chenopodium album,Cirsium arvense,Convolvulus arvensis,Elymus repens,Equisetum arvense,Euphorbia exigua,Fallopia convolvulus,Fumaria officinalis,Galeopsis tetrahit,Galium aparine,Galium tricornutum,Geranium dissectum,Juncus bufonius,Lamium purpureum,Lathyrus pratensis,Legousia hybrida,Lithospermum arvense,Medicago lupulina,Minuartia hybrida,Myosotis arvensis,Odontites verna,Papaver argemone,Papaver rhoeas,Poa annua,Poa trivialis,Polygonum aviculare,Ranunculus arvensis,Rumex obtusifolius,Scandix pecten-veneris,Senecio vulgaris,Sinipas arvensis,Sisymbrium officinale,Sonchus arvensis,Stellaria media,Trifolium sp.,Tripleurospermum inodorum,Tussilago farfara,Umbelliferae,Urtica dioica,Valerianella dentata,Veronica arvensis,Veronica hederifolia,Veronica persica,Veronica sp.,Vicia Fabia,Vicia sativa,Viola arvensis,sow_date,harvest_date,cultivar,total_grain,cleaned_grain,straw,%_weed_seeds,weed_seed_weight,notes_id
1991,21,8,21\8,VA,FYM N2,winter wheat,3.000,winter wheat,FYM,35,1990-10-09,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,25.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,25.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1990-10-16,1991-08-25,Apollo,3.310,*,*,*,*,"1, 45"
1991,22,8,22\8,VA,FYM,winter wheat,3.000,winter wheat,FYM,35,1990-10-09,*,*,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,2.000,0.000,0.000,10.000,0.000,24.000,0.000,0.000,0.000,0.000,0,17.000,0.000,0.000,0.000,0.000,25.000,0.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,21.000,2.000,1990-10-16,1991-08-25,Apollo,3.600,*,*,*,*,"1, 46"
1991,3,8,3\8,VA,Nil,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,25.000,23.000,0.000,25.000,0.000,23.000,0.000,0.000,0.000,2.000,0,11.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,1990-10-16,1991-08-25,Apollo,1.750,*,*,*,*,1
1991,5,8,5\8,VA,PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,nil,*,0,*,0,*,0,*,0,*,0,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,25.000,0.000,0.000,12.000,0.000,15.000,0.000,0.000,0.000,4.000,0,18.000,0.000,0.000,0.000,0.000,1.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,24.000,0.000,1990-10-16,1991-08-25,Apollo,2.100,*,*,*,*,"1, 38"
1991,6,8,6\8,VA,N1PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N1,mid_spring,0,*,0,*,48,1991-04-09,0,*,48,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,19.000,0.000,0.000,21.000,0.000,21.000,0.000,0.000,3.000,15.000,0,15.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,24.000,0.000,1990-10-16,1991-08-25,Apollo,2.540,*,*,*,*,"1, 38"
1991,7,8,7\8,VA,N2PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,25.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,0.000,3.000,0.000,0.000,15.000,0.000,25.000,0.000,0.000,7.000,16.000,0,9.000,0.000,0.000,0.000,0.000,9.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,24.000,0.000,1990-10-16,1991-08-25,Apollo,3.270,*,*,*,*,"1, 38"
1991,8,8,8\8,VA,N3PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N3,mid_spring,0,*,0,*,144,1991-04-09,0,*,144,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,5.000,0.000,25.000,0.000,0.000,4.000,2.000,0,11.000,0.000,0.000,0.000,0.000,18.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,4.000,0.000,1990-10-16,1991-08-25,Apollo,5.000,*,*,*,*,"1, 38"
1991,9,8,9\8,VA,N4PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N4,mid_spring,0,*,0,*,192,1991-04-09,0,*,192,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,2.000,0.000,25.000,0.000,0.000,2.000,2.000,0,6.000,0.000,0.000,0.000,0.000,17.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1990-10-16,1991-08-25,Apollo,5.630,*,*,*,*,"1, 38"
1991,10,8,10\8,VA,N2,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,13.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,21.000,0.000,24.000,0.000,0.000,16.000,3.000,0,18.000,0.000,0.000,0.000,0.000,2.000,0.000,14.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,4.000,1990-10-16,1991-08-25,Apollo,1.760,*,*,*,*,1
1991,11,8,11\8,VA,N2P,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,P,35.000,1990-10-02,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,23.000,0.000,25.000,0.000,0.000,13.000,7.000,0,15.000,0.000,0.000,0.000,0.000,5.000,0.000,25.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,2.000,1990-10-16,1991-08-25,Apollo,2.110,*,*,*,*,1
1991,12,8,12\8,VA,N2PNa*,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,P,35.000,1990-10-02,nil,0,*,Na*,55,1990-10-01,nil,0,*,*,0.000,0.000,25.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,2.000,0.000,0.000,21.000,0.000,24.000,0.000,0.000,13.000,10.000,0,12.000,0.000,0.000,0.000,0.000,3.000,0.000,22.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,2.000,0.000,1990-10-16,1991-08-25,Apollo,2.320,*,*,*,*,1
1991,13,8,13\8,VA,N2PK,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,0.000,2.000,0.000,0.000,21.000,0.000,25.000,0.000,0.000,1.000,10.000,0,10.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,22.000,4.000,1990-10-16,1991-08-25,Apollo,3.280,*,*,*,*,1
1991,14,8,14\8,VA,N2PKMg*,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N2,mid_spring,0,*,0,*,96,1991-04-09,0,*,96,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg*,30,1990-10-01,*,0.000,0.000,25.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,1.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,0.000,14.000,0.000,25.000,0.000,0.000,12.000,22.000,0,18.000,0.000,0.000,0.000,0.000,5.000,0.000,23.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,10.000,0.000,21.000,0.000,1990-10-16,1991-08-25,Apollo,2.860,*,*,*,*,1
1991,15,8,15\8,VA,N5PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N5,mid_spring,0,*,0,*,240,1991-04-09,0,*,240,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,4.000,11.000,0,6.000,0.000,0.000,0.000,0.000,9.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1990-10-16,1991-08-25,Apollo,3.890,*,*,*,*,38
1991,16,8,16\8,VA,N6PKMg,winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N6,mid_spring,0,*,0,*,288,1991-04-09,0,*,288,P,35.000,1990-10-02,K,90,1990-10-01,nil,0,*,Mg,0,*,*,0.000,0.000,25.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,11.000,6.000,0,2.000,0.000,0.000,0.000,0.000,14.000,0.000,19.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,5.000,0.000,1990-10-16,1991-08-25,Apollo,3.770,*,*,*,*,"1, 38"
1991,17,8,17\8,VA,N0+3 1/2[PKMg],winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N0+3,mid_spring,0,*,0,*,144,1991-04-09,0,*,144,1/2 P,17.500,1990-10-02,1/2 K,45,1990-10-01,nil,0,*,1/2 Mg,0,*,*,0.000,0.000,25.000,0.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,3.000,0.000,0.000,6.000,0.000,23.000,0.000,0.000,6.000,11.000,0,1.000,0.000,0.000,0.000,0.000,14.000,0.000,22.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,16.000,3.000,1990-10-16,1991-08-25,Apollo,3.280,*,*,*,*,"1, 6"
1991,18,8,18\8,VA,N1+3 1/2[PKMg],winter wheat,3.000,winter wheat,nil,0,*,*,*,*,N1+3,autumn_&_spring,48,1990-10-02,0,*,144,1991-04-09,0,*,192,1/2 P,17.500,1990-10-02,1/2 K,45,1990-10-01,nil,0,*,1/2 Mg,0,*,*,0.000,0.000,25.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,1.000,0.000,0.000,5.000,0.000,25.000,0.000,0.000,4.000,5.000,0,0.000,0.000,0.000,0.000,0.000,17.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,5.000,1990-10-16,1991-08-25,Apollo,4.330,*,*,*,*,"1, 6"
1991,19,8,19\8,VA,(C) ,winter wheat,3.000,winter wheat,nil,0,*,(C) ,0.000,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,24.000,0.000,23.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,1.000,21.000,6.000,0.000,24.000,0.000,24.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,9.000,0.000,20.000,16.000,1990-10-16,1991-08-25,Apollo,2.510,*,*,*,*,1
1992,21,8,21\8,VA,FYM N2,winter wheat,4.000,winter wheat,FYM,35,1991-10-09,*,*,*,N2,mid_spring,0,*,0,*,96,1992-04-10,0,*,96,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0,3.000,0.000,0.000,0.000,0.000,25.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1991-10-15,1992-08-06,Apollo,4.930,4.820,*,2.231,0.110,45
1992,22,8,22\8,VA,FYM,winter wheat,4.000,winter wheat,FYM,35,1991-10-09,*,*,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,1.000,0.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,0,23.000,0.000,0.000,0.000,0.000,22.000,0.000,22.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,1991-10-15,1992-08-06,Apollo,4.290,3.820,*,10.956,0.470,46
1992,3,8,3\8,VA,Nil,winter wheat,4.000,winter wheat,nil,0,*,*,*,*,nil,*,0,*,0,*,0,*,0,*,0,nil,0.000,*,nil,0,*,nil,0,*,nil,0,*,*,0.000,0.000,25.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,13.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,25.000,22.000,0.000,4.000,0.000,14.000,0.000,0.000,0.000,0.000,0,24.000,0.000,0.000,0.000,0.000,2.000,0.000,25.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,1991-10-15,1992-08-06,Apollo,1.940,1.570,*,19.072,0.370,*
