description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows annual nitrogen fertilizer treatment,nil,1968-2022,nitrogen fertilizer exposure,,0,,,,
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N1,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,48,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N2,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,96,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N3,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N4,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N5,1968-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
Factor level shows annual nitrogen fertilizer treatment. Not applied in fallow years,N6,1985-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. N1 applied in autmn, followed by N3 in spring. Not applied in fallow years. Strips 17 and 18, alternating each year with factor N0+3, so N applied in autumn in one year and not the next. Autumn N only applied to winter wheat, spring N3 applied to all crops. ",N1+3,1980-2000,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,"two applications each year, autumn and spring","ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. N3 in spring, no N in autumn. Not applied in fallow years. Strips 17 and 18, alternating each year with factor N1+3, so N applied in autumn in one year and not the next. ",N0+3,1980-2000,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,annual except in fallow years,"ammonium nitrate since 1986, as calcium ammonium nitrate 1968-1985",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to wheat, applied mid-March, mid-April, Mid-May",N1+1+1,2001-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,3 applications in spring except in fallow years,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to wheat, applied mid-March, mid-April, Mid-May",N1+2+1,2001-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,3 applications in spring except in fallow years,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to wheat, applied mid-March, mid-April, Mid-May",N1+3+1,2001-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,3 applications in spring except in fallow years,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment. Split N to wheat, applied mid-March, mid-April, Mid-May",N1+4+1,2001-2022,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,3 applications in spring except in fallow years,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352
