harvest_year,plot,fertilizer_code,fym_factor_level,fym_date,n_factor_level,spring1_n_kg,spring1_n_date,spring2_n_kg,spring2_n_date,spring3_n_kg,spring3_n_date,total_fertilizer_n_amount,p_factor_level,p_date,k_factor_level,k_date,mg_factor_level,mg_date,sow_date,harvest_date,cultivar,area_ha,grain_yield,straw_yield,grain_%_n,straw_%_n,grain_kgN,straw_kgN,note
2001,2.1,FYM N2,FYM,2000-10-04,N2,96.000,2001-05-04,*,*,*,*,96,nil,*,nil,*,nil,*,2001-01-16,2001-08-23,Hereward,0.007,4.580,3.630,2.055,0.446,80.001,13.761,*
2002,2.1,FYM N2,FYM,2001-09-12,N2,96.000,2002-04-24,*,*,*,*,96,nil,*,nil,*,nil,*,2001-09-28,2002-08-14,Hereward,0.006,7.670,3.540,1.790,0.390,116.699,11.735,*
2003,2.1,FYM N2,FYM,2002-10-02,N2,96.000,2003-04-15,*,*,*,*,96,nil,*,nil,*,nil,*,2002-10-04,2003-08-05,Hereward,0.004,7.400,4.330,1.980,0.340,124.542,12.514,4
2004,2.1,FYM N2,FYM,2003-09-25,N2,96.000,2004-05-07,*,*,*,*,96,nil,*,nil,*,nil,*,2003-09-30,2004-09-02,Hereward,0.004,6.090,2.620,1.880,0.480,97.318,10.690,4
2005,2.1,FYM N3,FYM,2004-10-18,N3,144.000,2005-04-14,*,*,*,*,144,nil,*,nil,*,nil,*,2004-11-05,2005-08-10,Hereward,0.006,7.510,4.160,2.140,0.390,136.607,13.790,*
2006,2.1,FYM N3,FYM,2005-09-28,N3,144.000,2006-04-20,*,*,*,*,144,nil,*,nil,*,nil,*,2005-10-11,2006-08-23,Hereward,0.006,7.850,6.240,2.340,0.530,156.136,28.111,*
2007,2.1,FYM N3,FYM,2006-10-04,N3,144.000,2007-04-24,*,*,*,*,144,nil,*,nil,*,nil,*,2006-11-01,2007-08-26,Hereward,0.006,6.210,2.210,2.230,0.650,117.711,12.210,*
2008,2.1,FYM N3,FYM,2007-10-10,N3,144.000,2008-04-17,*,*,*,*,144,nil,*,nil,*,nil,*,2007-10-15,2008-08-26,Hereward,0.006,7.500,4.120,2.063,0.513,131.516,17.965,*
2009,2.1,FYM N3,FYM,2008-10-02,N3,144.000,2009-04-21,*,*,*,*,144,nil,*,nil,*,nil,*,2008-10-17,2009-08-14,Hereward,0.006,7.620,4.340,2.258,0.492,146.251,18.150,*
2010,2.1,FYM N3,FYM,2009-09-17,N3,144.000,2010-04-20,*,*,*,*,144,nil,*,nil,*,nil,*,2009-10-13,2010-08-31,Hereward,0.006,5.890,3.400,2.462,0.468,123.260,13.525,*
2011,2.1,FYM N3,FYM,2010-10-08,N3,144.000,2011-04-13,*,*,*,*,144,nil,*,nil,*,nil,*,2010-10-19,2011-08-15,Hereward,0.006,7.370,3.100,2.486,0.646,155.735,17.022,*
2012,2.1,FYM N3,FYM,2011-09-28,N3,144.000,2012-04-17,*,*,*,*,144,nil,*,nil,*,nil,*,2011-10-11,2012-08-20,Hereward,0.006,6.520,4.300,2.268,0.774,125.693,28.290,*
2013,2.1,FYM N3,FYM,2012-10-03,N3,144.000,2013-04-24,*,*,*,*,144,nil,*,nil,*,nil,*,2013-02-22,2013-08-29,Crusoe,0.006,5.950,2.650,2.603,0.535,131.647,12.051,*
2014,2.1,FYM N3,FYM,2013-10-02,N3,144.000,2014-04-03,*,*,*,*,144,nil,*,nil,*,nil,*,2013-10-18,2014-08-20,Crusoe,0.006,7.050,4.970,1.985,0.496,118.951,20.954,*
2015,2.1,FYM N3,FYM,2014-10-03,N3,144.000,2015-04-17,*,*,*,*,144,nil,*,nil,*,nil,*,2015-03-09,2015-09-26,Mulika,0.006,6.750,4.220,2.661,0.660,152.675,23.674,3
2001,2.2,FYM,FYM,2000-10-04,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2001-01-16,2001-08-23,Hereward,0.007,2.170,1.870,2.211,0.466,40.782,7.407,*
2002,2.2,FYM,FYM,2001-09-12,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2001-09-28,2002-08-14,Hereward,0.006,5.450,2.740,1.490,0.290,69.024,6.754,*
2003,2.2,FYM,FYM,2002-10-02,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2002-10-04,2003-08-05,Hereward,0.006,5.070,3.710,1.560,0.260,67.228,8.199,*
2004,2.2,FYM,FYM,2003-09-25,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2003-09-30,2004-09-02,Hereward,0.006,4.040,2.360,2.380,0.390,81.729,7.823,*
2005,2.2,FYM,FYM,2004-10-18,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2004-11-05,2005-08-10,Hereward,0.006,4.180,1.810,1.690,0.270,60.046,4.154,*
2006,2.2,FYM,FYM,2005-09-28,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2005-10-11,2006-08-23,Hereward,0.006,5.650,4.700,1.670,0.280,80.202,11.186,*
2007,2.2,FYM,FYM,2006-10-04,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2006-11-01,2007-08-26,Hereward,0.006,3.940,1.930,1.810,0.470,60.617,7.710,*
2008,2.2,FYM,FYM,2007-10-10,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2007-10-15,2008-08-26,Hereward,0.006,5.020,2.190,1.796,0.381,76.635,7.092,*
2009,2.2,FYM,FYM,2008-10-02,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2008-10-17,2009-08-14,Hereward,0.006,5.560,4.400,1.632,0.318,77.128,11.893,*
2010,2.2,FYM,FYM,2009-09-17,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2009-10-13,2010-08-31,Hereward,0.006,3.790,2.150,1.643,0.280,52.929,5.117,*
2011,2.2,FYM,FYM,2010-10-08,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2010-10-19,2011-08-15,Hereward,0.006,5.890,2.220,1.828,0.410,91.519,7.737,*
2012,2.2,FYM,FYM,2011-09-28,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2011-10-11,2012-08-20,Hereward,0.006,5.090,4.300,1.554,0.481,67.234,17.581,*
2013,2.2,FYM,FYM,2012-10-03,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2013-02-22,2013-08-29,Crusoe,0.006,4.840,1.690,2.237,0.372,92.030,5.344,*
2014,2.2,FYM,FYM,2013-10-02,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2013-10-18,2014-08-20,Crusoe,0.006,4.200,3.150,1.444,0.307,51.551,8.220,*
2015,2.2,FYM,FYM,2014-10-03,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2015-03-09,2015-09-26,Mulika,0.006,6.550,3.110,2.031,0.453,113.076,11.975,3
2001,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2001-01-16,2001-08-23,Hereward,0.007,0.390,0.480,2.113,0.461,7.005,1.881,*
2002,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2001-09-28,2002-08-14,Hereward,0.006,0.470,0.130,1.270,0.390,5.074,0.431,*
2003,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2002-10-04,2003-08-05,Hereward,0.006,1.010,0.240,1.440,0.280,12.362,0.571,*
2004,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2003-09-30,2004-09-02,Hereward,0.006,0.710,0.110,1.440,0.390,8.690,0.365,*
2005,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2004-11-05,2005-08-10,Hereward,0.006,1.050,0.230,1.580,0.260,14.101,0.508,*
2006,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2005-10-11,2006-08-23,Hereward,0.006,1.120,0.410,1.680,0.290,15.994,1.011,*
2007,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2006-11-01,2007-08-26,Hereward,0.006,0.850,0.160,1.850,0.480,13.366,0.653,*
2008,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2007-10-15,2008-08-26,Hereward,0.006,0.030,0.010,1.892,0.436,0.482,0.037,*
2009,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2008-10-17,2009-08-14,Hereward,0.006,2.050,0.840,1.768,0.340,30.807,2.428,*
2010,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2009-10-13,2010-08-31,Hereward,0.006,1.020,0.330,1.681,0.293,14.574,0.822,*
2011,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2010-10-19,2011-08-15,Hereward,0.006,1.110,0.270,1.866,0.391,17.606,0.897,*
2012,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2011-10-11,2012-08-20,Hereward,0.006,0.540,0.150,1.780,0.431,8.170,0.550,*
2013,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2013-02-22,2013-08-29,Crusoe,0.006,1.600,0.340,2.129,0.371,28.954,1.072,*
2014,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2013-10-18,2014-08-20,Crusoe,0.006,1.370,0.700,1.426,0.324,16.606,1.928,*
2015,3,Nil,nil,*,nil,*,*,*,*,*,*,0,nil,*,nil,*,nil,*,2015-03-09,2015-09-26,Mulika,0.006,1.450,0.690,2.066,0.415,25.463,2.434,3
2001,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2000-10-04,Mg,2000-10-04,2001-01-16,2001-08-23,Hereward,0.007,0.430,0.450,1.984,0.476,7.252,1.821,*
2002,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2001-09-12,Mg,2001-09-12,2001-09-28,2002-08-14,Hereward,0.006,0.410,0.110,1.270,0.350,4.426,0.327,*
2003,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2002-10-01,Mg,2002-10-01,2002-10-04,2003-08-05,Hereward,0.006,1.490,0.790,1.370,0.260,17.351,1.746,*
2004,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2003-09-23,Mg,2003-09-23,2003-09-30,2004-09-02,Hereward,0.006,1.110,0.280,1.370,0.290,12.926,0.690,*
2005,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2004-10-13,Mg,2004-10-13,2004-11-05,2005-08-10,Hereward,0.006,1.090,0.160,1.600,0.280,14.824,0.381,*
2006,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2005-09-28,Mg,2005-09-28,2005-10-11,2006-08-23,Hereward,0.006,1.260,0.290,1.600,0.310,17.136,0.764,*
2007,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2006-10-09,Mg,2006-10-09,2006-11-01,2007-08-26,Hereward,0.006,1.050,0.230,1.740,0.400,15.529,0.782,*
2008,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2007-10-01,Mg,2007-10-01,2007-10-15,2008-08-26,Hereward,0.006,0.680,0.070,1.629,0.398,9.416,0.237,*
2009,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2008-09-29,Mg,2008-09-29,2008-10-17,2009-08-14,Hereward,0.006,1.710,0.860,1.624,0.272,23.605,1.988,*
2010,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2009-09-14,Mg,2009-09-14,2009-10-13,2010-08-31,Hereward,0.006,1.250,0.340,1.441,0.263,15.311,0.760,*
2011,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2010-10-07,Mg,2010-10-07,2010-10-19,2011-08-15,Hereward,0.006,1.800,0.570,1.735,0.345,26.546,1.672,*
2012,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2011-09-27,Mg,2011-09-27,2011-10-11,2012-08-20,Hereward,0.006,1.210,0.170,1.502,0.411,15.448,0.594,*
2013,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2012-09-28,Mg,2012-09-28,2013-02-22,2013-08-29,Crusoe,0.006,1.950,0.480,1.896,0.338,31.426,1.379,*
2014,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2013-09-30,Mg,2013-09-30,2013-10-18,2014-08-20,Crusoe,0.006,1.470,0.620,1.432,0.303,17.893,1.597,*
2015,5,(P)KMg,nil,*,nil,*,*,*,*,*,*,0,(P),*,K,2014-10-02,Mg,2014-10-02,2015-03-09,2015-09-26,Mulika,0.006,1.580,0.600,1.820,0.394,24.443,2.009,3
