description,treatment_factor_group,years,treatment_factor,treatment_factor_rdfType,factor_level_name,amount,amount_unit,frequency,total_amount,total_amount_unit,treatment_form,treatment_form_rdfType
Factor level 0 shows no P treatment applied period 1. In period 2 this factor was divided into P0 and P1 treatments.  See https://doi.org/10.23637/rcs10-Treatments-01,period1 ,1962-1980,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,0,0.0,,none,0.0,,,
"Factor level P shows P treatment applied period 1. 27.5kgP each year, except in 1968 and 1974 (55kgP to potatoes) and 1969, 1979 and 1980 (none applied, fallow). In period 2 this factor was divided into P2 and P3 treatments.  See https://doi.org/10.23637/rcs10-Treatments-01",period1 ,1962-1980,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,P,27.5,kg P ha-1,annual,495.0,kg P ha-1 ,triple superphosphate,http://aims.fao.org/aos/agrovoc/c_7521
Factor level (0)P0 shows no P treatment applied period 2. (0) indicates no P applied period 1.  See https://doi.org/10.23637/rcs10-Treatments-01,period2 ,1981-1996,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,(0)P0,0.0,,none,0.0,,,
"Factor level (0)P1 shows P1 treatment applied period 2, over three applications, 25kg P, 1981 and 1988, 50kg P 1982.  (0) indicates no P applied period 1. See https://doi.org/10.23637/rcs10-Treatments-01",period2 ,1981-1996,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,(0)P1,33.3,kg P ha-1 ,3 times at different rates,100.0,kg P ha-1 ,triple superphosphate,http://aims.fao.org/aos/agrovoc/c_7521
"Factor level (P)P2 shows P2 treatment applied period 2, over three applications, 1981 (25 kg P), 1983 (50kg P), 1988 (25kg P). (P) indicates P applied period 1.  See https://doi.org/10.23637/rcs10-Treatments-01",period2 ,1981-1996,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,(P)P2,33.3,kg P ha-1 ,3 times at different rates,100.0,kg P ha-1 ,triple superphosphate,http://aims.fao.org/aos/agrovoc/c_7521
"Factor level (P)P3 shows P3 treatment applied period 2, over four applications. 1981 (75kg P), 1982 (50kg P), 1983 (50 kg P), 1988 (75 kg P). (P) indicates P applied period 1.  See https://doi.org/10.23637/rcs10-Treatments-01",period2 ,1981-1996,phosphorous nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007397,(P)P3,62.5,kg P ha-1 ,4 times at different rates,250.0,kg P ha-1 ,triple superphosphate,http://aims.fao.org/aos/agrovoc/c_7521
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,225,,,,,,,,,
,,,4,56.25,,,,,,,,
