plot,block,sub-plot,sample_year,soil_depth,liming_factor_level,p_factor_level,k_1962-80_factor_level,exch_al,exch_ca,exch_cu,exch_fe,exch_k,exch_mg,exch_mn,exch_na,exch_zn,note_id
1,1,*,1964,0-18,0,P,0,22.856,984.183,0.218,0.978,61.019,34.577,467.770,11.745,1.720,*
2,1,*,1964,0-18,0,0,K,10.280,1058.185,0.178,0.593,90.964,36.178,478.505,13.648,1.345,*
3,1,*,1964,0-18,H,0,0,0.010,2328.552,0.171,0.105,58.381,28.446,34.896,9.664,0.000,*
4,1,*,1964,0-18,L,P,0,2.444,1346.341,0.137,0.289,58.137,30.443,374.630,12.078,0.756,*
5,1,*,1964,0-18,0,P,K,30.082,813.838,0.248,0.919,99.040,28.791,515.553,10.989,2.362,*
6,1,*,1964,0-18,M,0,0,0.144,1592.840,0.126,0.167,61.998,30.691,189.533,16.527,0.149,*
7,1,*,1964,0-18,L,0,0,0.487,1628.565,0.145,0.300,80.622,37.860,276.419,8.832,0.475,*
8,1,*,1964,0-18,H,P,0,0.069,2410.153,0.222,0.237,105.472,37.345,44.607,10.198,-0.002,*
9,1,*,1964,0-18,M,0,K,0.100,1958.660,0.103,0.127,93.103,38.927,150.329,13.045,0.080,*
10,1,*,1964,0-18,0,0,0,17.256,1081.799,0.217,0.746,70.540,42.923,540.100,19.830,1.888,*
11,1,*,1964,0-18,L,P,K,0.721,1574.805,0.106,0.403,78.649,39.474,314.155,54.724,0.395,*
12,1,*,1964,0-18,L,0,K,1.808,1407.729,0.126,0.341,94.211,34.615,368.862,10.835,0.746,*
13,1,*,1964,0-18,M,P,K,0.126,1892.101,0.131,0.183,94.335,30.371,149.614,12.243,0.069,*
14,1,*,1964,0-18,H,0,K,0.053,2266.401,0.188,0.154,83.655,27.940,57.277,11.934,-0.003,*
15,1,*,1964,0-18,H,P,K,0.144,2391.321,0.192,0.230,89.288,27.408,40.536,12.093,0.000,*
16,1,*,1964,0-18,M,P,0,0.105,2084.332,0.166,0.225,75.541,36.905,81.971,13.290,0.021,*
17,2,*,1964,0-18,M,0,K,0.085,2120.401,0.160,0.159,124.472,38.666,134.748,17.416,0.123,*
18,2,*,1964,0-18,M,P,K,0.145,2184.466,0.211,0.213,113.905,35.896,122.836,20.130,0.097,*
19,2,*,1964,0-18,M,0,0,0.068,2208.829,0.145,0.156,84.127,38.242,118.107,18.139,0.055,*
20,2,*,1964,0-18,0,P,0,12.427,1207.795,0.204,0.532,76.983,38.230,542.854,10.644,2.012,*
21,2,*,1964,0-18,M,P,0,0.318,1984.519,0.127,0.327,68.947,31.453,135.238,8.591,0.059,*
22,2,*,1964,0-18,L,0,K,0.735,1540.096,0.118,0.404,108.717,35.481,299.594,16.973,0.489,*
23,2,*,1964,0-18,0,P,K,7.346,1062.748,0.157,0.541,120.572,34.071,475.792,16.109,1.647,*
24,2,*,1964,0-18,L,P,0,0.813,1508.051,0.105,0.267,61.699,36.061,317.708,12.950,0.542,*
25,2,*,1964,0-18,L,P,K,0.446,1739.803,0.219,0.209,106.105,36.401,286.692,17.692,0.782,*
26,2,*,1964,0-18,0,0,0,9.289,1220.812,0.543,0.621,79.513,41.489,471.989,13.303,5.829,*
27,2,*,1964,0-18,H,0,K,0.016,2640.149,0.235,0.108,103.640,29.300,28.156,17.540,0.000,*
28,2,*,1964,0-18,H,P,K,0.000,2562.894,0.226,0.062,104.312,27.117,31.040,11.318,0.000,*
29,2,*,1964,0-18,0,0,K,24.378,807.853,0.242,0.849,132.339,29.945,513.378,12.152,2.314,*
30,2,*,1964,0-18,L,0,0,1.271,1377.234,0.136,0.217,66.630,30.739,327.778,24.377,0.565,*
31,2,*,1964,0-18,H,P,0,0.071,2382.297,0.200,0.151,55.193,24.972,38.709,7.706,0.000,*
32,2,*,1964,0-18,H,0,0,0.000,2453.268,0.203,0.090,52.584,27.052,30.852,14.488,0.000,*
1,1,*,1967,0-18,0,P,0,25.385,1015.924,0.201,0.752,61.584,34.662,482.968,14.139,1.686,*
2,1,*,1967,0-18,0,0,K,11.701,974.152,0.146,0.399,132.839,33.194,475.110,16.341,1.434,*
3,1,*,1967,0-18,H,0,0,0.002,2316.589,0.119,0.086,50.885,25.545,35.202,16.765,0.000,*
4,1,*,1967,0-18,L,P,0,3.325,1246.011,0.115,0.268,51.226,29.011,352.745,35.766,0.856,*
5,1,*,1967,0-18,0,P,K,29.865,778.210,0.209,0.594,119.195,27.742,499.711,12.404,2.427,*
6,1,*,1967,0-18,M,0,0,0.212,1531.736,0.075,0.076,56.633,28.073,188.879,42.585,0.222,*
7,1,*,1967,0-18,L,0,0,0.501,1470.336,0.108,0.253,73.789,36.284,253.851,13.690,0.443,*
