site,plot,block,sub_plot,harvest_year,crop_type,liming_factor_level,p_factor_level,k_factor_level,mn_factor_level,k_basal_rate,yield,%_dry_matter,ca,k,mg,na,p,s,al,as,cd,co,cr,cu,fe,mn,mo,ni,pb,se,ti,zn,note
Rothamsted,1,1,12,1978,spring barley,0,P,0,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Rothamsted,2,1,22,1978,spring barley,0,0,K,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Rothamsted,3,1,32,1978,spring barley,H,0,0,-,0,3.370,85,565.599,5190.392,1114.503,151.330,3757.262,1406.407,*,0.218,0.036,*,2.586,5.342,*,25.023,1.574,1.028,0.482,0.022,2.446,28.834,2
Rothamsted,4,1,41,1978,spring barley,L,P,0,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Rothamsted,5,1,51,1978,spring barley,0,P,K,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Rothamsted,6,1,61,1978,spring barley,M,0,0,-,0,1.750,85,542.155,5372.858,1133.834,174.590,3419.807,1573.058,9.936,0.163,0.037,0.028,0.551,5.634,35.861,20.966,0.092,0.569,0.281,0.019,2.063,26.314,0
Rothamsted,7,1,72,1978,spring barley,L,0,0,-,0,2.690,85,516.616,5159.430,1067.460,110.082,3349.924,1469.316,6.357,0.169,0.030,0.023,0.507,5.248,32.569,19.066,0.103,0.523,0.253,0.018,2.026,25.764,0
Rothamsted,8,1,82,1978,spring barley,H,P,0,-,0,5.330,85,552.220,5812.634,1237.222,78.860,3974.828,1351.721,18.241,0.198,0.026,0.131,0.543,4.764,59.392,28.701,0.152,0.404,0.449,0.021,2.516,23.553,0
Rothamsted,9,1,92,1978,spring barley,M,0,K,-,0,3.420,85,540.682,5417.190,1087.838,60.676,3491.783,1285.598,11.430,0.160,0.016,0.157,0.645,5.356,40.401,21.882,0.267,0.477,0.289,0.027,2.056,27.985,0
Rothamsted,10,1,101,1978,spring barley,0,0,0,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Rothamsted,11,1,112,1978,spring barley,L,P,K,-,0,4.440,85,495.975,5166.781,1087.420,57.636,3528.620,1393.214,7.757,0.144,0.046,0.024,0.494,4.891,33.713,26.712,0.111,0.497,0.197,0.025,1.960,25.816,0
