plot,block,sub-plot,sample_year,sample_date,plough_date,soil_depth,crop,lime_date,lime_factor_level,annual_lime,cumulative_lime,p_factor_level,k_1962-80_factor_level,mg_1974-78_factor_level,mn_1987-90_factor_level,s_1991-96_factor_level,soil_pH,olsen_p,exch_ca,exch_k,exch_mg,exch_na,exch_mn,note_id
1,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.000,*,*,*,*,*,*,1
2,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.200,*,*,*,*,*,*,1
3,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.100,*,*,*,*,*,*,1
4,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,4.900,*,*,*,*,*,*,1
5,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,4.800,*,*,*,*,*,*,1
6,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,4.800,*,*,*,*,*,*,1
7,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.300,*,*,*,*,*,*,1
8,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.500,*,*,*,*,*,*,1
9,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.100,*,*,*,*,*,*,1
10,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.000,*,*,*,*,*,*,1
11,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.100,*,*,*,*,*,*,1
12,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.000,*,*,*,*,*,*,1
13,1,*,baseline,1962-02-14,1961-11-17,0-18,*,*,*,*,*,*,*,*,*,*,5.000,*,*,*,*,*,*,1
