site,plot,block,sub-plot,harvest_year,liming_factor_level,lime_date,annual_lime ,cumulative_lime ,p_factor_level,p_rate_annual,p_rate_cumulative,k_factor_level,k_rate_annual,mg_factor_level,mg_rate_annual,mn_factor_level,mn_rate_annual,s_factor_level,s_rate_annual,n_basal_rate,k_basal_rate,mg_basal_rate,crop,variety,sow_date,harvest_date,yield,%_dry_matter,note
Rothamsted,1,1,-,1962,0,*,0.000,0.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.510,85.000,0
Rothamsted,2,1,-,1962,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.590,85.000,0
Rothamsted,3,1,-,1962,H,1962-03-05,15.000,15.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.197,85.000,0
Rothamsted,4,1,-,1962,L,1962-03-05,5.000,5.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.840,85.000,0
Rothamsted,5,1,-,1962,0,*,0.000,0.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.510,85.000,0
Rothamsted,6,1,-,1962,M,1962-03-05,10.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.660,85.000,0
Rothamsted,7,1,-,1962,L,1962-03-05,5.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.160,85.000,0
Rothamsted,8,1,-,1962,H,1962-03-05,15.000,15.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.470,85.000,0
Rothamsted,9,1,-,1962,M,1962-03-05,10.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.660,85.000,0
Rothamsted,10,1,-,1962,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.590,85.000,0
