crop_name,latin_name,crop_name_rdftype
spring beans,vicia faba,http://aims.fao.org/aos/agrovoc/c_8220
spring barley,hordeum vulgare,http://aims.fao.org/aos/agrovoc/c_823
potatoes,solanum tuberosum,http://aims.fao.org/aos/agrovoc/c_13551
fallow,-,http://aims.fao.org/aos/agrovoc/c_34007
spring oats,avena sativa,http://aims.fao.org/aos/agrovoc/c_5287
spring oilseed rape,brassica napus,http://aims.fao.org/aos/agrovoc/c_25499
winter triticale,× triticosecale,http://aims.fao.org/aos/agrovoc/c_33914
spring lupins,lupinus albus,http://aims.fao.org/aos/agrovoc/c_4464
spring linseed,linum usitatissimum,http://aims.fao.org/aos/agrovoc/c_4355
winter oilseed rape,brassica napus,http://aims.fao.org/aos/agrovoc/c_25499
winter lupins,lupinus albus,http://aims.fao.org/aos/agrovoc/c_4464
winter wheat,triticum aestivum,http://aims.fao.org/aos/agrovoc/c_8412
