harvest_year,crop,plot,previous_fertilizer_code,current_year_fertilizer_code,sowing_date,harvest_date,variety,plot_area,bushel_weight,hectolitre_weight,grain_yield,straw_yield,forage_yield,note_id
1902,spring barley,1,Nil,Nil,*,*,*,0.068,24.540,67.474,2.008,2.016,*,*
1902,spring barley,2,Nil (FYM),Nil,*,*,*,0.068,24.676,67.849,2.146,2.098,*,*
1902,spring barley,3,FYM (P),Nil,*,*,*,0.068,24.177,66.477,4.292,5.845,*,*
1902,spring barley,4,FYM (N*P),Nil,*,*,*,0.068,24.676,67.849,4.380,5.732,*,*
1902,spring barley,5,N,Nil,*,*,*,0.068,24.540,67.474,3.577,4.229,*,*
1902,spring barley,6,N*,Nil,*,*,*,0.068,24.540,67.474,3.803,4.790,*,*
1902,spring barley,7,NPKNaMg,Nil,*,*,*,0.068,24.585,67.599,3.890,4.803,*,*
1902,spring barley,8,N*PKNaMg,Nil,*,*,*,0.068,24.449,67.225,4.054,5.187,*,*
1902,spring barley,9,P,Nil,*,*,*,0.068,24.630,67.724,2.121,2.029,*,*
1902,spring barley,10,PKNaMg,Nil,*,*,*,0.068,24.540,67.474,1.506,1.804,*,*
1903,spring barley,1,Nil,Nil,*,*,*,0.068,24.494,67.350,0.577,0.610,*,1.000
1903,spring barley,2,Nil (FYM),Nil,*,*,*,0.068,24.494,67.350,0.916,1.815,*,1.000
1903,spring barley,3,FYM (P),Nil,*,*,*,0.068,24.494,67.350,2.836,3.893,*,1.000
1903,spring barley,4,FYM (N*P),Nil,*,*,*,0.068,24.494,67.350,2.711,3.906,*,1.000
1903,spring barley,5,N,Nil,*,*,*,0.068,24.494,67.350,1.155,1.141,*,1.000
1903,spring barley,6,N*,Nil,*,*,*,0.068,24.494,67.350,1.129,1.021,*,1.000
1903,spring barley,7,NPKNaMg,Nil,*,*,*,0.068,24.494,67.350,1.744,1.831,*,1.000
1903,spring barley,8,N*PKNaMg,Nil,*,*,*,0.068,24.494,67.350,1.581,1.959,*,1.000
1903,spring barley,9,P,Nil,*,*,*,0.068,24.494,67.350,0.803,0.997,*,1.000
1903,spring barley,10,PKNaMg,Nil,*,*,*,0.068,24.494,67.350,0.778,0.994,*,1.000
1904,oats,1,Nil,Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.777,1.508,*,2.000
1904,oats,2,Nil (FYM),Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.723,1.318,*,2.000
1904,oats,3,FYM (P),Nil,*,*,Black Tartarian,0.068,13.608,37.416,1.866,3.429,*,2.000
1904,oats,4,FYM (N*P),Nil,*,*,Black Tartarian,0.068,13.608,37.416,2.067,3.651,*,2.000
1904,oats,5,N,Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.810,1.311,*,2.000
1904,oats,6,N*,Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.763,1.415,*,2.000
1904,oats,7,NPKNaMg,Nil,*,*,Black Tartarian,0.068,13.608,37.416,1.039,1.897,*,2.000
1904,oats,8,N*PKNaMg,Nil,*,*,Black Tartarian,0.068,13.608,37.416,1.096,1.832,*,2.000
1904,oats,9,P,Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.763,1.237,*,2.000
1904,oats,10,PKNaMg,Nil,*,*,Black Tartarian,0.068,13.608,37.416,0.696,1.290,*,2.000
1905,spring barley,1,Nil,Nil,*,*,*,0.068,24.494,*,0.278,0.372,*,1.000
1905,spring barley,2,Nil (FYM),Nil,*,*,*,0.068,24.494,*,0.430,0.426,*,1.000
1905,spring barley,3,FYM (P),Nil,*,*,*,0.068,24.494,*,1.712,1.862,*,1.000
1905,spring barley,4,FYM (N*P),Nil,*,*,*,0.068,24.494,*,1.833,2.164,*,1.000
1905,cow peas,5,N,Nil,1905-05-16 00:00:00,*,*,0.068,*,*,*,*,*,3.000
1905,red clover ,6,N*,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,0.000,4.000
1905,cow peas,7,NPKNaMg,Nil,1905-05-16 00:00:00,*,*,0.068,*,*,*,*,*,3.000
1905,red clover ,8,N*PKNaMg,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,0.000,4.000
1905,cow peas,9,P,Nil,1905-05-16 00:00:00,*,*,0.068,*,*,*,*,*,3.000
1905,red clover ,10,PKNaMg,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,0.000,4.000
1906,spring barley,1,Nil,Nil,*,*,*,0.068,24.494,*,*,0.686,0.557,1.000
1906,spring barley,2,Nil (FYM),Nil,*,*,*,0.068,24.494,*,*,1.234,1.029,1.000
1906,spring barley,3,FYM (P),Nil,*,*,*,0.068,24.494,*,*,2.646,2.178,1.000
1906,spring barley,4,FYM (N*P),Nil,*,*,*,0.068,24.494,*,*,3.116,2.451,1.000
1906,red clover ,5,N,Nil,1906,*,*,0.068,*,*,*,*,0.000,4.000
1906,red clover ,6,N*,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,7.668,5.000
1906,red clover ,7,NPKNaMg,Nil,1906,*,*,0.068,*,*,*,*,0.000,4.000
1906,red clover ,8,N*PKNaMg,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,9.977,5.000
1906,red clover ,9,P,Nil,1906,*,*,0.068,*,*,*,*,0.000,4.000
1906,red clover ,10,PKNaMg,Nil,1905-05-15 00:00:00,*,*,0.068,*,*,*,*,8.659,5.000
1907,spring barley,1,Nil,Nil,*,*,*,0.068,25.402,69.844,*,0.523,0.389,*
1907,spring barley,2,Nil (FYM),Nil,*,*,*,0.068,25.991,71.465,*,0.876,0.661,*
