harvest_year,crop,plot,previous_fertilizer_code,current_year_fertilizer_code,n_fertilizer_amount,n_fertilizer_type,chalk_amount,sowing_date,harvest_date,variety,plot_area,grain_yield,straw_yield,note_id
1949,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,0.980,1.050,*
1949,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,1.280,1.560,*
1949,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,3.420,3.720,*
1949,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,3.260,3.610,*
1949,spring barley,5,N,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,1.090,1.490,*
1949,spring barley,6,N*,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,1.650,1.980,*
1949,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,2.960,2.800,*
1949,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,3.610,3.250,*
1949,spring barley,9,P,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,2.960,2.890,*
1949,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1949-03-24,1949-08-09,Plumage Archer,0.068,3.420,3.760,*
1950,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,1.400,2.020,*
1950,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,1.860,2.470,*
1950,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,3.000,3.280,*
1950,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,3.580,3.790,*
1950,spring barley,5,N,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,1.530,1.860,*
1950,spring barley,6,N*,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,1.810,2.160,*
1950,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,2.740,3.220,*
1950,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,3.260,3.380,*
1950,spring barley,9,P,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,3.020,3.200,*
1950,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1950-03-15,1950-08-07,Plumage Archer,0.068,3.290,3.460,*
1951,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,1.580,1.640,*
1951,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,1.480,1.550,*
1951,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,2.670,2.400,*
1951,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,2.920,2.610,*
1951,spring barley,5,N,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,1.790,1.650,*
1951,spring barley,6,N*,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,1.330,1.000,*
1951,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,2.820,2.590,*
1951,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,2.790,2.440,*
1951,spring barley,9,P,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,2.720,2.350,*
1951,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1951-04-16,1951-09-03,Plumage Archer,0.068,3.070,2.600,*
1952,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,1.620,2.050,*
1952,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,1.270,1.600,*
1952,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.900,3.410,*
1952,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.860,3.660,*
1952,spring barley,5,N,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.070,2.450,*
1952,spring barley,6,N*,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,1.640,1.920,*
1952,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.660,3.320,*
1952,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.660,2.990,*
1952,spring barley,9,P,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.450,2.720,*
1952,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1952-02-28,1952-07-31,Plumage Archer,0.068,2.730,2.940,*
1953,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,1.980,2.250,*
1953,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,1.460,2.210,*
