harvest_year,crop,plot,fertilizer_code,fym_factor_level,n_factor_level,fertilizer_n_amount,p_factor_level,fertilizer_p_amount,k_factor_level,fertilizer_k_amount,na_factor_level,fertilizer_na_amount,mg_factor_level,fertilizer_mg_amount,planting_date_start,planting_date_end,harvest_date_start,harvest_date_end,variety,tuber_%_nitrogen_content,tuber_nitrogen_content,tuber_good_yield,tuber_small_yield,tuber_diseased_yield,tuber_total_fresh_weight_yield,tuber_%_dry_matter,tuber_total_ dry_matter_yield,grain_yield,straw_yield,note_id
1856,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.644,2.585,*
1856,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.644,2.585,*
1856,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.493,2.309,*
1856,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.493,2.309,*
1856,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,2.535,4.305,*
1856,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,2.535,4.305,*
1856,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,2.874,5.497,*
1856,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,2.874,5.497,*
1856,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.719,2.723,*
1856,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,06/12/1855,*,*,*,*,*,*,*,*,*,*,*,*,1.719,2.723,*
1857,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.544,1.933,*
1857,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.544,1.933,*
1857,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.393,1.770,*
1857,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.393,1.770,*
1857,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,2.598,3.539,*
1857,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,2.598,3.539,*
1857,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,3.213,4.656,*
1857,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,3.213,4.656,*
1857,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.468,1.820,*
