name,ncbitaxon_uri,common_name,new_common_name,phylogeny,note_id
Achillea millefolium,http://purl.obolibrary.org/obo/NCBITaxon_13329,Common Yarrrow,*,forb,*
Agrimonia eupatoria,http://purl.obolibrary.org/obo/NCBITaxon_57912,Common Agrimony,*,forb,*
Agrostis capillaris,http://purl.obolibrary.org/obo/NCBITaxon_204232,Common Bent,*,grass,*
Agrostis stolonifera,http://purl.obolibrary.org/obo/NCBITaxon_63632,Creeping Bent Grass,*,grass,3.000
Ajuga reptans,http://purl.obolibrary.org/obo/NCBITaxon_38596,Bugle,*,forb,*
Alopecurus pratensis,http://purl.obolibrary.org/obo/NCBITaxon_15304,Meadow Foxtail,*,grass,*
Anthoxanthum odoratum,http://purl.obolibrary.org/obo/NCBITaxon_29661,Sweet Vernal Grass,*,grass,*
Anthriscus sylvestris,http://purl.obolibrary.org/obo/NCBITaxon_48027,Cow Parsley,*,forb,*
Arrhenatherum elatius,http://purl.obolibrary.org/obo/NCBITaxon_52139,False Oat Grass,*,grass,*
Briza media,http://purl.obolibrary.org/obo/NCBITaxon_281077,Quaking Grass,*,grass,*
Bromus hordeaceus,http://purl.obolibrary.org/obo/NCBITaxon_52147,Soft Brome,*,grass,*
Bryophyta,http://purl.obolibrary.org/obo/NCBITaxon_3208,Mosses,*,moss,3.000
Carex caryophyllea,http://purl.obolibrary.org/obo/NCBITaxon_502401,Spring Sedge,*,grass,*
Carex flacca,http://purl.obolibrary.org/obo/NCBITaxon_140814,Glaucous Sedge,*,grass,*
Centaurea nigra,http://purl.obolibrary.org/obo/NCBITaxon_75633,Common Knapweed,*,forb,*
Cerastium fontanum,http://purl.obolibrary.org/obo/NCBITaxon_230722,Common Mouse-ear,*,forb,*
Conopodium majus,http://purl.obolibrary.org/obo/NCBITaxon_173702,Pignut,*,forb,*
Crepis capillaris,http://purl.obolibrary.org/obo/NCBITaxon_13465,Smooth Hawk's-beard,*,forb,*
Cynosurus cristatus,http://purl.obolibrary.org/obo/NCBITaxon_211939,Crested Dog's-tail,*,grass,*
Dactylis glomerata,http://purl.obolibrary.org/obo/NCBITaxon_4509,Cocks-foot,*,grass,*
Deschampsia cespitosa,http://purl.obolibrary.org/obo/NCBITaxon_37723,Tufted Hair-graa,*,grass,*
