site,plot_id,plot,split_plot,sub_plot,sample_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,pm_factor_level,pm_n_rate,Achillea millefolium,Agrimonia eupatoria,Agrostis capillaris,Ajuga reptans,Alopecurus pratensis,Anthoxanthum odoratum,Anthriscus sylvestris,Arrhenatherum elatius,Bellis perennis,Briza media,Bromus hordeaceus,Cardamine pratensis,Carex caryophyllea,Carex flacca,Centaurea nigra,Cerastium fontanum,Conopodium majus,Crepis capillaris,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elytrigia repens,Festuca pratensis,Festuca rubra,Filipendula ulmaria,Fritillaria meleagris,Galium verum,Helictotrichon pubescens,Heracleum sphondylium,Holcus lanatus,Hypochoeris radicata,Knautia arvensis,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Linum catharticum,Lolium perenne,Lotus corniculatus,Luzula campestris,Ononis repens,Ophioglossum vulgatum,Pilosella officinarum,Pimpinella saxifraga,Plantago lanceolata,Poa pratensis,Poa trivialis,Potentilla reptans,Potentilla sterilis,Primula veris,Prunella vulgaris,Ranunculus acris,Ranunculus auricomus,Ranunculus bulbosus,Ranunculus ficaria,Rumex acetosa,Sanguisorba minor,Senecio jacobaea,Stachys officinalis,Stellaria graminea,Stellaria media,Taraxacum officinale,Tragopogon pratensis,Trifolium pratense,Trifolium repens,Trisetum flavescens,Veronica chamaedrys,Vicia cracca,Vicia sativa,note_id
Rothamsted,1a,1,*,a,1991,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,4.410,0.000,10.900,0.000,0.000,1.310,0.000,0.220,0.000,0.420,0.000,0.000,0.000,0.000,2.680,0.000,0.080,0.120,0.000,36.890,0.000,0.000,0.000,6.900,0.000,0.000,0.000,1.400,0.000,0.680,0.000,0.000,0.030,0.000,12.500,0.000,0.000,0.640,0.040,0.000,0.000,0.000,0.030,16.970,0.190,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.010,0.000,0.250,0.010,0.000,0.000,0.000,0.000,0.070,0.000,0.050,0.010,3.100,0.000,0.000,0.000,*
Rothamsted,1b,1,*,b,1991,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,2.090,0.000,10.920,0.000,0.160,0.250,0.000,0.200,0.000,2.270,0.000,0.000,0.000,0.000,15.160,0.000,1.890,0.890,0.000,20.120,0.000,0.000,0.000,29.090,0.000,0.000,0.000,0.410,0.000,0.170,0.000,0.000,0.160,0.000,6.170,0.000,0.000,0.260,0.130,0.000,0.000,0.000,0.120,5.950,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,1.470,0.440,0.000,0.000,0.000,0.000,0.370,0.400,0.000,0.000,0.840,0.000,0.000,0.000,*
Rothamsted,1c,1,*,c,1991,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,0.000,0.000,53.680,0.000,0.000,1.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,41.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,1.510,0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,1d,1,*,d,1991,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,98.450,0.000,0.000,1.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,2a,2,*,a,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,6.680,0.170,24.500,0.090,0.000,0.240,0.000,0.000,0.000,1.640,0.000,0.000,0.070,0.000,9.770,0.030,0.100,0.080,0.000,4.570,0.000,0.000,0.000,16.290,0.000,0.000,0.000,1.330,0.000,0.310,0.000,0.000,0.260,0.000,11.720,0.000,0.000,4.200,0.390,0.000,0.040,0.370,0.470,8.100,0.000,0.000,0.000,0.000,0.000,0.000,0.520,0.000,0.170,0.000,0.040,2.690,0.000,0.000,0.000,0.000,0.000,0.570,0.460,0.000,4.130,0.000,0.000,0.000,2
Rothamsted,2b,2,*,b,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,6.930,0.000,9.890,0.290,0.000,3.050,0.000,0.110,0.000,3.400,0.000,0.000,0.000,0.000,13.180,0.170,0.990,0.390,0.000,9.180,0.000,0.000,0.000,14.530,0.000,0.000,0.000,2.210,0.000,0.560,0.000,2.020,0.170,0.000,11.320,0.000,0.000,1.260,0.270,0.000,0.000,0.000,0.160,7.350,0.180,0.000,0.000,0.000,0.000,0.020,0.400,0.000,0.000,0.000,0.000,1.220,0.000,0.000,0.000,0.000,0.160,0.520,0.150,0.000,9.930,0.000,0.000,0.000,2
Rothamsted,2c,2,*,c,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,7.040,0.000,27.300,0.070,0.000,0.730,0.000,1.990,0.000,0.950,0.000,0.000,0.170,0.000,10.570,0.000,0.650,0.450,0.000,4.640,0.000,0.000,0.000,36.420,0.000,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.060,0.000,2.240,0.000,0.000,0.590,0.290,0.000,0.000,0.000,0.430,1.790,0.000,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.130,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.110,0.000,0.040,0.010,1.810,0.000,0.000,0.000,2
Rothamsted,2d,2,*,d,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,1.610,0.000,43.610,0.080,0.000,0.900,0.000,0.100,0.000,0.840,0.000,0.000,0.800,0.000,4.070,0.000,0.350,0.160,0.000,0.660,0.000,0.000,0.000,37.360,0.000,0.000,0.710,0.000,0.000,0.570,0.130,0.100,0.000,0.000,1.970,0.000,0.000,0.490,0.190,0.000,0.000,0.000,0.070,4.470,0.000,0.000,0.000,0.000,0.000,0.150,0.300,0.000,0.100,0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,2
Rothamsted,3a,3,*,a,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,8.990,0.000,11.350,0.340,0.340,0.710,0.000,0.000,0.000,2.510,0.000,0.000,0.630,0.000,9.530,0.000,0.190,0.000,0.000,5.460,0.000,0.000,0.000,31.660,0.000,0.000,0.000,0.370,0.000,0.300,0.000,0.340,0.310,0.000,8.490,0.000,0.000,1.350,0.270,0.000,0.000,0.000,0.640,8.030,0.070,0.000,0.000,0.000,0.000,0.010,1.370,0.000,0.520,0.000,0.000,1.930,0.000,0.000,0.000,0.000,0.680,0.000,0.160,0.000,3.470,0.000,0.000,0.000,*
Rothamsted,3b,3,*,b,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,6.790,0.000,3.040,0.020,0.000,0.120,0.000,0.000,0.000,0.410,0.000,0.000,0.030,0.000,16.900,1.800,0.880,0.000,0.000,3.940,0.000,0.000,0.000,30.730,0.000,0.000,0.000,3.450,0.000,1.470,0.000,2.610,0.250,0.000,10.420,0.000,0.000,0.410,0.300,0.000,0.000,0.000,0.180,5.250,1.230,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.290,0.000,0.000,1.460,0.000,0.000,0.000,0.000,0.330,0.000,0.050,0.030,7.110,0.040,0.000,0.000,*
