site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1903,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1903-07-02,1903-07-02,1903-07-03,1903-07-03,0.050,2.427,*,1903-09-30,1903-10-02,1903-10-16,1903-10-16,0.099,0.868,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1904,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1904-06-30,1904-06-30,1904-07-04,1904-07-04,0.030,3.465,*,1904-10-04,1904-10-25,1904-10-27,1904-10-27,0.099,0.310,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1905,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1905-07-08,1905-07-08,1905-07-12,1905-07-12,0.078,2.399,*,1905-09-25,1905-09-26,1905-10-03,1905-10-03,0.099,0.341,"1, 9"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1906,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1906-07-04,1906-07-05,1906-07-07,1906-07-07,0.078,1.806,*,*,*,*,*,*,*,"1, 7, 8, 9"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1907,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1907-07-15,1907-07-15,1907-07-18,1907-07-18,0.039,3.842,*,1907-10-05,1907-10-07,1907-10-28,1907-10-28,0.078,0.534,"1, 7, 8, 9"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1908,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1908-06-23,1908-06-23,1908-06-26,1908-06-26,0.039,2.590,*,1908-09-29,1908-09-29,1908-10-02,1908-10-02,0.078,0.507,"1, 7, 8, 9"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1909,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1909-07-02,1909-07-02,1909-07-09,1909-07-09,0.039,0.639,*,1909-10-29,1909-10-30,1909-11-01,1909-11-01,0.078,0.750,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1910,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1910-06-22,1910-06-24,1910-07-11,1910-07-11,0.039,1.560,*,1910-11-15,1910-11-17,1910-11-19,1910-11-19,0.078,0.470,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1911,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1911-06-30,1911-07-01,1911-07-05,1911-07-05,0.039,2.424,*,*,*,*,*,*,*,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1912,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1912-06-19,1912-06-19,1912-06-24,1912-06-24,0.039,1.300,*,1912-09-10,1912-09-11,1912-09-21,1912-09-21,0.078,1.011,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1913,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1913-06-25,1913-06-25,1913-06-30,1913-06-30,0.039,2.599,*,1913-09-11,1913-09-12,1913-09-18,1913-09-18,0.078,0.240,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1914,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1914-06-23,1914-06-24,1914-06-25,1914-06-26,0.039,1.223,*,*,*,*,*,*,*,"1, 7, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1915,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1915-06-22,1915-06-22,1915-06-23,1915-06-23,0.039,0.573,*,1915-09-17,1915-09-17,1915-09-21,1915-09-21,0.039,1.782,"1, 8"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1916,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1916-06-21,1916-06-21,1916-07-04,1916-07-04,0.039,1.531,*,1916-03-09,1916-03-13,1916-03-14,1916-03-14,0.078,0.154,"1, 7, 8"
