site,plot_id,plot,split_plot,sub_plot,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,pm_factor_level,pm_n_rate,harvest_area,start_cut_1,end_cut_1,start_cart_cut_1,end_cart_cut_1,yield_dry_matter_cut_1,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,yield_dry_matter_cut_2,note
Rothamsted,1a,1,*,a,1965,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.003,28/06/1965,29/06/1965,*,*,2.860,03/12/1965,07/12/1965,*,*,1.259,0
Rothamsted,1b,1,*,b,1965,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.003,28/06/1965,29/06/1965,*,*,2.138,03/12/1965,07/12/1965,*,*,0.638,0
Rothamsted,1c,1,*,c,1965,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,6.300,0,0,0,0,0,0,0.003,28/06/1965,29/06/1965,*,*,2.746,03/12/1965,07/12/1965,*,*,0.655,0
Rothamsted,1d,1,*,d,1965,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.003,28/06/1965,29/06/1965,*,*,2.241,03/12/1965,07/12/1965,*,*,0.921,0
Rothamsted,1a,1,*,a,1966,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.003,07/06/1966,07/06/1966,*,*,2.096,11/10/1966,12/10/1966,*,*,2,0
Rothamsted,1b,1,*,b,1966,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.003,07/06/1966,07/06/1966,*,*,1.286,11/10/1966,12/10/1966,*,*,1.798,0
Rothamsted,1c,1,*,c,1966,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,0.003,07/06/1966,07/06/1966,*,*,1.507,11/10/1966,12/10/1966,*,*,1.115,0
Rothamsted,1d,1,*,d,1966,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.003,07/06/1966,07/06/1966,*,*,1.040,11/10/1966,12/10/1966,*,*,1.433,0
Rothamsted,1a,1,*,a,1967,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.003,12/06/1967,12/06/1967,*,*,1.882,18/10/1967,18/10/1967,*,*,1.673,0
Rothamsted,1b,1,*,b,1967,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.003,12/06/1967,12/06/1967,*,*,0.903,18/10/1967,18/10/1967,*,*,1.375,0
Rothamsted,1c,1,*,c,1967,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,3.100,0,0,0,0,0,0,0.003,12/06/1967,12/06/1967,*,*,1.406,18/10/1967,18/10/1967,*,*,0.298,0
Rothamsted,1d,1,*,d,1967,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.003,12/06/1967,12/06/1967,*,*,1.035,18/10/1967,18/10/1967,*,*,0.401,0
Rothamsted,1a,1,*,a,1968,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,2.000,0,0,0,0,0,0,0.003,11/06/1968,11/06/1968,*,*,1.795,05/11/1968,05/11/1968,*,*,1.946,0
Rothamsted,1b,1,*,b,1968,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.003,11/06/1968,11/06/1968,*,*,1.357,05/11/1968,05/11/1968,*,*,1.707,0
Rothamsted,1c,1,*,c,1968,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,3.100,0,0,0,0,0,0,0.003,11/06/1968,11/06/1968,*,*,1.228,05/11/1968,05/11/1968,*,*,0.829,0
Rothamsted,1d,1,*,d,1968,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.003,11/06/1968,11/06/1968,*,*,0.776,05/11/1968,05/11/1968,*,*,0.798,0
Rothamsted,1a,1,*,a,1969,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.003,09/06/1969,10/06/1969,*,*,1.793,13/10/1969,13/10/1969,*,*,1.697,0
Rothamsted,1b,1,*,b,1969,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.003,09/06/1969,10/06/1969,*,*,1.559,13/10/1969,13/10/1969,*,*,1.787,0
Rothamsted,1c,1,*,c,1969,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,0.003,09/06/1969,10/06/1969,*,*,1.002,13/10/1969,13/10/1969,*,*,0.833,0
Rothamsted,1d,1,*,d,1969,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.003,09/06/1969,10/06/1969,*,*,0.360,13/10/1969,13/10/1969,*,*,0.703,0
Rothamsted,1a,1,*,a,1970,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.003,15/06/1970,15/06/1970,*,*,1.751,02/10/1970,02/10/1970,*,*,1.333,0
