crop_name,latin_name,crop_code,crop_name_rdftype,years,description,management
Permanent grass,*,G,http://aims.fao.org/aos/agrovoc/c_37403 ,1949-1990,permanent grassland from before the start of the experiment,"Mixture of perennial grasses and clovers. Original composition not known, permanent grassland since 1838. Grazed by sheep until 1961, then cut for silage. Divided into sub plots, testing grass/clover (c) and grass with nitrogen (n) 1962-1990, cropping was identical. "
Permanent grass,*,Gc,http://aims.fao.org/aos/agrovoc/c_37403 ,1991-present,permanent grassland from before the start of the experiment,"Mixture of perennial grasses and clovers. Original composition not known, permanent grassland since 1838. Cut for silage."
Reseeded grass/clover,*,R,http://aims.fao.org/aos/agrovoc/c_7270 ,1949-1990,reseeded grass/clover mixture sown at the start of the experiment,"Mixture of Lolium multiflorium, L. perenne, Dactylis glomerata, Phleum pratense, Trifolium repens and T. pratense, sown at the start of the experiment in varying proportions. See supplementary information for more details. Grazed by sheep until 1961, then cut for silage. Divided into sub plots, testing grass/clover (c) and grass with nitrogen (n) 1963-1990, cropping was identical."
Reseeded grass/clover,*,Rc,http://aims.fao.org/aos/agrovoc/c_7270 ,1991-2008,reseeded grass/clover mixture sown at the start of the experiment,"Mixture of Lolium multiflorium, L. perenne, Dactylis glomerata, Phleum pratense, Trifolium repens and T. pratense, sown at the start of the experiment in varying proportions. See supplementary information for more details. Grazed by sheep until 1961, then cut for silage. "
Cut grass/clover ley,-,Cg,http://aims.fao.org/aos/agrovoc/c_16189 ,1949-1963,sown three-year cut grass/clover ley,"Mixture of Lolium multiflorium, Dactylis glomerata, Trifolium repens and T. hybridium, used in three year cut grass/clover ley (Cg) in varying proportions. See supplementary information for more details. Cut for hay. "
Grazed grass/clover ley,*,L,http://aims.fao.org/aos/agrovoc/c_16189 ,1949-1963,sown three-year grazed grass/clover ley,"Mixture of Lolium multiflorium, L. perenne, Dactylis glomerata, Phleum pratense, Trifolium repens and T. pratense, used in three year grazed grass/clover ley (L) in varying proportions. See supplementary information for more details. Grazed by sheep until 1961, then cut for silage. "
Cut all-grass ley,*,Ln,http://aims.fao.org/aos/agrovoc/c_16189 ,1962-1990,sown three-year all-grass ley,"Mixture of Phleum pratense and Festuca pratensis, used in three year all-grass ley (Ln) in varying proportions. See supplementary information for more details. Cut at early silage stage with sample yield cuts."
Cut clover-grass ley,*,Lc,http://aims.fao.org/aos/agrovoc/c_16189 ,1962-present,sown three-year grass/clover ley,"Mixture of Phleum pratense, Festuca pratensis and Trifolium repens, used in three year grass/clover ley (Lc) in varying proportions. See supplementary information for more details. Cut at early silage stage with sample yield cuts. Varieties and proportions of mixture unknown after 1990."
Hay,*,H,http://aims.fao.org/aos/agrovoc/c_3508,1949-1988,one-year grass or grass/clover mixture grown for hay,"Mixture of Lolium multiflorium, L. perenne, and Trifolium hybridium, used as seed for one-year hay in varying proportions. See supplementary information for more details.  Undersown in the previous crop. Cut once for hay. Treatment crop in the arable rotation (A). "
londras westerwolths ryegrass,Lolium multiflorium westerwoldicum,*,http://aims.fao.org/aos/agrovoc/c_4424,1988,annual or perennial grass,"Subspecies of italian ryegrass, used as seed for one year hay (H)"
italian ryegrass,Lolium multiflorium,*,http://aims.fao.org/aos/agrovoc/c_4424,"1949-1961, 1973-1987",annual or perennial grass,"Used in cut grass (Cg), reseeded grass (R), grazed ley (L) and one-year hay seed mixtures (H)"
perennial ryegrass,Lolium perenne,*,http://aims.fao.org/aos/agrovoc/c_4425,1949-1975,perennial grass,"Used in reseeded grass (R), grazed ley (L) and one-year hay seed mixtures (H)"
cocksfoot,Dactylis glomerata,*,http://aims.fao.org/aos/agrovoc/c_2101,1949-1961,perennial grass,"Used in cut grass (Cg), reseeded grass (R) and grazed ley seed mixtures (L)"
timothy,Phleum pratense,*,http://aims.fao.org/aos/agrovoc/c_5786,1949-1990,perennial grass,"Used in reseeded grass (R), grazed ley (L), clover-grass (Lc) and all-grass seed mixtures (Ln)"
meadow fescue,Festuca pratensis,*,http://aims.fao.org/aos/agrovoc/c_2871,1962-1990,perennial grass,"Used in reseeded grass (R), clover-grass (Lc) and all-grass seed mixtures (Ln)"
red clover,Trifolium pratense,*,http://aims.fao.org/aos/agrovoc/c_7917,1949-1975,perennial forage legume,"Used in reseeded grass (R), grazed ley (L) and one-year hay seed mixtures (H)"
white clover,Trifolium repens,*,http://aims.fao.org/aos/agrovoc/c_7918,1949-1990,perennial forage legume,"Used in cut-grass (Cg), reseeded grass (R), grazed ley (L) and clover-grass seed mixtures (Lc)"
alsike clover,Trifolium hybridum,*,http://aims.fao.org/aos/agrovoc/c_7914,1949-1975,perennial forage legume,Used in cut grass (R) and one-year hay seed mixtures (H)
fallow,-,F,http://aims.fao.org/aos/agrovoc/c_34007,1991-present,"no crop grown, weeds removed",A treatment in the arable rotation from 1991 onwards then also replaces Lc as a continuous treatment on some plots from 2009 onwards
lucerne,Medicago sativa,Lu,http://aims.fao.org/aos/agrovoc/c_4693,1949-1990,perennial forage legume,Sown in the spring and cut in summer and autumn. Treatment crop.
potatoes,Solanum tuberosum,P,http://aims.fao.org/aos/agrovoc/c_13551,1949-1982,annual vegetable root crop ,"Sown in the spring, harvested in the autumn. 1st or 2nd test crop 1949 - 1982 and 2nd arable treatment crop 1949 - 1960"
spring barley,Hordeum vulgare,B,http://aims.fao.org/aos/agrovoc/c_ad10e027,1949-1972,"annual cereal, sown in the spring","Sown in the spring, harvested in the summer. 3rd arable treatment crop 1949 - 1956 and 3rd test crop 1949 - 1972"
winter barley,Hordeum vulgare,WB,http://aims.fao.org/aos/agrovoc/c_5b8bcf68,2003-2005,"annual cereal, sown in the winter","Sown in the winter, harvested the following summer. Test crop."
spring oats,Avena sativa,O,http://aims.fao.org/aos/agrovoc/c_5287,1955-1990,"annual cereal, sown in the spring","Sown in the spring, harvested in the summer. 3rd treatment crop in arable rotation"
winter oats,Avena sativa,OW,http://aims.fao.org/aos/agrovoc/c_5287,"1991-present, 1981","annual cereal, sown in the winter","Sown in the winter, harvested the following summer. 3rd treatment crop in some arable rotations 1990 onwards"
winter wheat,Triticum aestivum,WW,http://aims.fao.org/aos/agrovoc/c_8412,1949-present,"annual cereal, sown in the winter","Sown in the winter, harvested the following summer. 1st test crop in most rotations and used as 2nd and/or 3rd test crop in some years for entirety of experiment"
sugar beet,Beta vulgaris,Sb,http://aims.fao.org/aos/agrovoc/c_7499,1961-1990,annual vegetable root crop ,Sown in the spring and harvested in the summer. From 1961 sugar beet replaced potatoes as the 2nd treatment crop in the A rotation
