year,block,main_plot,sub_plot,rotation_factor_level_code,n_or_c_treatment,phase_number,test_or_treatment_crop,crop_name,crop_code,crop_variety,note_id
1949,1,1,*,G,*,4,Initialising phase,Permanent grass,G,*,*
1949,1,2,*,G,*,4,Initialising phase,Permanent grass,G,*,*
1949,1,3,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,4,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,5,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass/clover seed mix,5
1949,1,6,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass/clover seed mix,5
1949,1,7,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,8,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,9,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,10,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,11,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,12,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,2,13,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass/clover seed mix,5
1949,2,14,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass/clover seed mix,5
1949,2,15,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,5
1949,2,16,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,5
1949,2,17,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,5
1949,2,18,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,5
1949,2,19,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,5
1949,2,20,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,5
1949,2,21,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,2,22,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,2,23,*,G,*,1,1st treatment crop,Permanent grass,G,*,*
1949,2,24,*,G,*,1,1st treatment crop,Permanent grass,G,*,*
1949,3,25,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,5
