year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1948.000,1.000,01/02,*,permanent grass,G,*,1948-12-22 00:00:00,0-23,0.944,*,*,2.980,*,*,*,*,*,*,*,1
1948.000,2.000,23/24,*,permanent grass,G,*,1948-12-22 00:00:00,0-23,0.944,*,*,2.990,*,*,*,*,*,*,*,1
1948.000,3.000,33/34,*,permanent grass,G,*,1948-12-22 00:00:00,0-23,0.944,*,*,2.570,*,*,*,*,*,*,*,1
1948.000,4.000,47/48,*,permanent grass,G,*,1948-12-22 00:00:00,0-23,0.944,*,*,2.660,*,*,*,*,*,*,*,1
1951.000,1.000,01/02,*,permanent grass,G,*,1951-02-26 00:00:00,0-23,0.944,*,*,2.720,*,*,*,*,*,*,*,2
1951.000,1.000,05/06,*,reseeded grass,R,*,1951-02-26 00:00:00,0-23,*,*,*,2.710,*,*,*,*,*,*,*,2
1951.000,1.000,03/04,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.700,*,*,*,*,*,*,*,"2, 8"
1951.000,1.000,07/08,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.700,*,*,*,*,*,*,*,"2, 8"
1951.000,1.000,09/10,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.700,*,*,*,*,*,*,*,"2, 8"
1951.000,1.000,11/12,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.700,*,*,*,*,*,*,*,"2, 8"
1951.000,4.000,39/40,*,reseeded grass,R,*,1951-02-26 00:00:00,0-23,*,*,*,2.590,*,*,*,*,*,*,*,2
1951.000,4.000,47/48,*,permanent grass,G,*,1951-02-26 00:00:00,0-23,0.944,*,*,2.690,*,*,*,*,*,*,*,2
1951.000,4.000,37/38,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.460,*,*,*,*,*,*,*,"2, 8"
1951.000,4.000,41/42,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.460,*,*,*,*,*,*,*,"2, 8"
1951.000,4.000,43/44,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.460,*,*,*,*,*,*,*,"2, 8"
1951.000,4.000,45/46,*,arable,A,*,1951-02-26 00:00:00,0-23,0.951,*,*,2.460,*,*,*,*,*,*,*,"2, 8"
1956.000,1.000,01/02,*,permanent grass,G,*,1956,0-23,0.944,*,*,3.017,*,*,*,*,*,*,*,"2, 9"
1956.000,1.000,03/04,*,ley_arable,Lu,*,1956,0-23,*,*,*,2.470,*,*,*,*,*,*,*,"2, 9"
1956.000,1.000,05/06,*,reseeded grass ,R,*,1956,0-23,*,*,*,2.797,*,*,*,*,*,*,*,"2, 9"
1956.000,1.000,07/08,*,ley_arable,Cg,*,1956,0-23,*,*,*,2.397,*,*,*,*,*,*,*,"2, 9"
1956.000,1.000,09/10,*,arable,A,*,1956,0-23,0.961,*,*,2.403,*,*,*,*,*,*,*,"2, 9"
1956.000,1.000,11/12,*,ley_arable,L ,*,1956,0-23,*,*,*,2.463,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,37/38,*,ley_arable,Lu,*,1956,0-23,*,*,*,2.313,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,39/40,*,reseeded grass,R,*,1956,0-23,*,*,*,2.680,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,41/42,*,arable,A,*,1956,0-23,0.961,*,*,2.180,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,43/44,*,ley_arable,Cg,*,1956,0-23,*,*,*,2.193,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,45/46,*,ley_arable,L ,*,1956,0-23,*,*,*,2.227,*,*,*,*,*,*,*,"2, 9"
1956.000,4.000,47/48,*,permanent grass,G,*,1956,0-23,0.944,*,*,2.773,*,*,*,*,*,*,*,"2, 9"
1961.000,1.000,01/02,*,permanent grass,G,*,1961-04-13 00:00:00,0-23,0.944,*,*,3.150,*,*,*,*,*,*,*,3
1961.000,1.000,09/10,*,arable,A,*,1961-04-14 00:00:00,0-23,0.972,*,*,2.080,*,*,*,*,*,*,*,3
1961.000,4.000,41/42,*,arable,A,*,1961-04-15 00:00:00,0-23,0.972,*,*,2.100,*,*,*,*,*,*,*,3
1961.000,4.000,47/48,*,permanent grass,G,*,1961-04-16 00:00:00,0-23,0.944,*,*,3.000,*,*,*,*,*,*,*,3
1967.000,1.000,01/02,*,permanent grass,G,*,1967-05-01 00:00:00,0-23,0.944,*,*,3.130,*,*,*,*,*,*,*,"4, 5"
1967.000,1.000,03/04,*,ley_arable,Lu,*,1967-05-02 00:00:00,0-23,*,*,*,2.010,*,*,*,*,*,*,*,4
1967.000,1.000,05/06,*,reseeded grass,R,*,1967-05-03 00:00:00,0-23,*,*,*,3.030,*,*,*,*,*,*,*,"4, 6"
1967.000,1.000,07/08,*,ley_arable,Ln,*,1967-05-04 00:00:00,0-23,*,*,*,2.160,*,*,*,*,*,*,*,4
1967.000,1.000,09/10,*,arable,A,*,1967-05-05 00:00:00,0-23,0.985,*,*,1.930,*,*,*,*,*,*,*,4
1967.000,1.000,11/12,*,ley_arable,Lc,*,1967-05-06 00:00:00,0-23,*,*,*,2.140,*,*,*,*,*,*,*,4
1967.000,4.000,37/38,*,ley_arable,Lu,*,1967-05-07 00:00:00,0-23,*,*,*,1.880,*,*,*,*,*,*,*,4
