year,block,main_plot,sub_plot,rotation_factor_level_code,n_or_c_treatment,phase_number,test_or_treatment_crop,crop_name,crop_code,crop_variety,note_id
1949,1,1,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,2,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,3,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,4,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,5,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,6,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,7,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,1,8,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,1,9,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,1,10,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,2,11,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,3
1949,2,12,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,3
1949,2,13,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,2,14,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,2,15,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,3
1949,2,16,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,3
1949,2,17,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,3
1949,2,18,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,3
1949,2,19,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,2,20,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,3,21,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,22,*,Lu,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,23,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,24,*,Cg,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,25,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,26,*,A,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,27,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,28,*,L,*,4,Initialising phase,Winter wheat,WW,Yeoman,*
1949,3,29,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,3,30,*,R,*,4,Initialising phase,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,4,31,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,3
1949,4,32,*,Cg,*,1,1st treatment crop,Cut grass/clover ley,Cg,Cut grass/clover ley seed mix,3
1949,4,33,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,4,34,*,Lu,*,1,1st treatment crop,Lucerne,Lu,Provence,*
1949,4,35,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,3
1949,4,36,*,L,*,1,1st treatment crop,Grazed grass/clover ley,L,Grazed grass/clover ley seed mix,3
1949,4,37,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,4,38,*,R,*,1,1st treatment crop,Reseeded grass/clover,R,Reseeded grass seed mix,3
1949,4,39,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,3
1949,4,40,*,A,*,1,1st treatment crop,Hay,H,Hay seed mix,3
1949,5,41,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,42,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,43,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,44,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,45,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,46,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,47,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,48,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,49,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,5,50,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,51,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,52,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,53,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,54,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,55,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,56,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,57,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,58,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
1949,6,59,*,B,*,Pre-experiment,Pre-experiment,Barley,B,Unknown,*
