year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1950,1,*,*,arable,A,*,1950-09-18,0-23,1.176,*,*,1.520,*,*,*,*,*,*,*,"1, 2"
1950,2,*,*,arable,A,*,1950-09-18,0-23,1.176,*,*,1.520,*,*,*,*,*,*,*,"1, 2"
1950,3,*,*,arable,A,*,1950-09-18,0-23,1.176,*,*,1.520,*,*,*,*,*,*,*,"1, 2"
1950,4,*,*,arable,A,*,1950-09-18,0-23,1.176,*,*,1.520,*,*,*,*,*,*,*,"1, 2"
1956,1,03/04,*,arable,A,*,1956-05-09,0-23,1.176,*,*,1.514,*,*,*,*,*,*,*,"2, 3"
1956,1,07/08,*,reseeded grass,R,*,1956-05-10,0-23,1.167,*,*,1.628,*,*,*,*,*,*,*,"2, 3"
1956,3,25/26,*,arable,A,*,1956-05-11,0-23,1.176,*,*,1.567,*,*,*,*,*,*,*,"2, 3"
1956,3,29/30,*,reseeded grass,R,*,1956-05-12,0-23,1.167,*,*,1.800,*,*,*,*,*,*,*,"2, 3"
1961,1,03/04,*,arable,A,*,1961-04-13,0-23,1.176,*,*,1.586,*,*,*,*,*,*,*,4
1961,1,07/08,*,reseeded grass,R,*,1961-04-13,0-23,1.162,*,*,1.884,*,*,*,*,*,*,*,4
1961,3,25/26,*,arable,A,*,1961-04-13,0-23,1.176,*,*,1.578,*,*,*,*,*,*,*,4
1961,3,29/30,*,reseeded grass,R,*,1961-04-13,0-23,1.162,*,*,2.098,*,*,*,*,*,*,*,4
1967,1,01/02,*,ley_arable,Lc,*,1967-05-01,0-23,*,*,*,1.600,*,*,*,*,*,*,*,5
1967,1,03/04,*,arable,A,*,1967-05-02,0-23,1.176,*,*,1.450,*,*,*,*,*,*,*,5
1967,1,05/06,*,ley_arable,Lu,*,1967-05-03,0-23,*,*,*,1.470,*,*,*,*,*,*,*,5
1967,1,07/08,*,reseeded grass,R,*,1967-05-04,0-23,1.156,*,*,1.910,*,*,*,*,*,*,*,"5, 6"
1967,1,09/10,*,ley_arable,Ln,*,1967-05-05,0-23,*,*,*,1.570,*,*,*,*,*,*,*,5
1967,3,21/22,*,ley_arable,Lu,*,1967-05-06,0-23,*,*,*,1.550,*,*,*,*,*,*,*,5
1967,3,23/24,*,ley_arable,Ln,*,1967-05-07,0-23,*,*,*,1.660,*,*,*,*,*,*,*,5
1967,3,25/26,*,arable,A,*,1967-05-08,0-23,1.176,*,*,1.440,*,*,*,*,*,*,*,5
1967,3,27/28,*,ley_arable,Lc,*,1967-05-09,0-23,*,*,*,1.610,*,*,*,*,*,*,*,5
1967,3,29/30,*,reseeded grass,R,*,1967-05-10,0-23,1.156,*,*,2.270,*,*,*,*,*,*,*,"5, 6"
1969,2,11/12,*,ley_arable,Ln,*,1969-08-01,0-23,*,*,*,1.690,*,*,*,*,*,*,*,*
1969,2,13/14,*,arable,Rp,*,1969-08-02,0-23,*,*,*,1.720,*,*,*,*,*,*,*,7
1969,2,15/16,*,arable,A,*,1969-08-03,0-23,1.176,*,*,1.450,*,*,*,*,*,*,*,*
1969,2,17/18,*,ley_arable,Lc,*,1969-08-04,0-23,*,*,*,1.680,*,*,*,*,*,*,*,*
1969,2,19/20,*,ley_arable,Lu,*,1969-08-05,0-23,*,*,*,1.510,*,*,*,*,*,*,*,*
1969,4,31/32,*,ley_arable,Ln,*,1969-08-06,0-23,*,*,*,1.610,*,*,*,*,*,*,*,*
1969,4,33/34,*,ley_arable,Lu,*,1969-08-07,0-23,*,*,*,1.440,*,*,*,*,*,*,*,*
1969,4,35/36,*,ley_arable,Lc,*,1969-08-08,0-23,*,*,*,1.680,*,*,*,*,*,*,*,*
1969,4,37/38,*,arable,Rp,*,1969-08-09,0-23,*,*,*,1.740,*,*,*,*,*,*,*,7
1969,4,39/40,*,arable,A,*,1969-08-10,0-23,1.176,*,*,1.470,*,*,*,*,*,*,*,*
1972,1,01/02,*,ley_arable,Lc,*,1972-09-01,0-23,*,*,*,1.900,*,*,*,*,*,*,*,*
1972,1,03/04,*,arable,A,*,1972-09-02,0-23,1.176,*,*,1.700,*,*,*,*,*,*,*,*
1972,1,05/06,*,ley_arable,Lu,*,1972-09-03,0-23,*,*,*,1.680,*,*,*,*,*,*,*,*
1972,1,07/08,1,reseeded grass,Rn ,n,1972-09-04,0-23,1.149,*,*,2.230,*,*,*,*,*,*,*,*
1972,1,07/08,2,reseeded grass,Rc ,c,1972-09-05,0-23,1.149,*,*,2.250,*,*,*,*,*,*,*,*
1972,1,09/10,*,ley_arable,Ln,*,1972-09-06,0-23,*,*,*,1.750,*,*,*,*,*,*,*,*
1972,2,11/12,*,ley_arable,Ln,*,1972-09-07,0-23,*,*,*,1.690,*,*,*,*,*,*,*,*
1972,2,13/14,*,arable,Rp,*,1972-09-08,0-23,*,*,*,1.690,*,*,*,*,*,*,*,7
1972,2,15/16,*,arable,A,*,1972-09-09,0-23,1.176,*,*,1.510,*,*,*,*,*,*,*,*
1972,2,17/18,*,ley_arable,Lc,*,1972-09-10,0-23,*,*,*,1.740,*,*,*,*,*,*,*,*
1972,2,19/20,*,ley_arable,Lu,*,1972-09-11,0-23,*,*,*,1.500,*,*,*,*,*,*,*,*
1972,3,21/22,*,ley_arable,Lu,*,1972-09-12,0-23,*,*,*,1.690,*,*,*,*,*,*,*,*
1972,3,23/24,*,ley_arable,Ln,*,1972-09-13,0-23,*,*,*,1.770,*,*,*,*,*,*,*,*
1972,3,25/26,*,arable,A,*,1972-09-14,0-23,1.176,*,*,1.660,*,*,*,*,*,*,*,*
1972,3,27/28,*,ley_arable,Lc,*,1972-09-15,0-23,*,*,*,1.850,*,*,*,*,*,*,*,*
1972,3,29/30,1,reseeded grass,Rc ,c,1972-09-16,0-23,1.149,*,*,2.510,*,*,*,*,*,*,*,*
