sample_year,sub-plot,sample_date,soil_weight,bulk_density,soil_pH,%N,N_stock,%SOC,SOC_stock,note_id
1959,1,1959-12-15,2.172,0.944,6.310,0.296,6.429,2.849,61.880,"1,2"
1959,2,1959-12-15,2.172,0.944,6.380,0.294,6.386,2.813,61.098,"1,2"
1959,3,1959-12-15,2.172,0.944,6.270,0.302,6.559,2.922,63.466,"1,2"
1959,4,1959-12-15,2.172,0.944,6.190,0.313,6.798,3.022,65.638,"1,2"
1963,1,1963-07-19,2.318,1.007,6.260,0.237,5.494,2.233,51.761,*
1963,2,1963-07-19,2.318,1.007,6.100,0.232,5.378,2.210,51.228,*
1963,3,1963-07-19,2.318,1.007,6.100,0.234,5.424,2.263,52.456,*
1963,4,1963-07-19,2.318,1.007,5.800,0.238,5.517,2.316,53.685,*
1971,1,1971-07-15,2.609,1.134,5.580,0.168,4.383,1.608,41.953,"3,4"
1971,2,1971-07-15,2.609,1.134,5.730,0.178,4.644,1.591,41.509,"3,4"
1971,3,1971-07-15,2.609,1.134,5.530,0.172,4.487,1.649,43.022,"3,4"
1971,4,1971-07-15,2.609,1.134,5.640,0.175,4.566,1.742,45.449,"3,4"
1978,1,1978-05-17,2.864,1.245,5.220,0.144,4.124,1.442,41.299,*
1978,2,1978-05-17,2.864,1.245,5.200,0.138,3.952,1.394,39.924,*
1978,3,1978-05-17,2.864,1.245,5.160,0.145,4.153,1.488,42.616,*
1978,4,1978-05-17,2.864,1.245,5.160,0.152,4.353,1.617,46.311,*
1987,1,1987-09-10,2.864,1.245,5.280,0.125,3.580,1.190,34.082,*
1987,2,1987-09-10,2.864,1.245,5.130,0.128,3.666,1.250,35.800,*
1987,3,1987-09-10,2.864,1.245,5.090,0.136,3.895,1.320,37.805,*
1987,4,1987-09-10,2.864,1.245,5.160,0.153,4.382,1.550,44.392,*
2000,1,2000-08-31,2.864,1.245,5.230,0.100,2.864,1.000,28.640,*
2000,2,2000-08-31,2.864,1.245,5.140,0.100,2.864,1.020,29.213,*
2000,3,2000-08-31,2.864,1.245,5.120,0.104,2.979,1.080,30.931,*
2000,4,2000-08-31,2.864,1.245,5.220,0.116,3.322,1.240,35.514,*
2008,1,2008-09-04,2.864,1.245,5.190,0.098,2.807,0.910,26.062,*
2008,2,2008-09-04,2.864,1.245,5.160,0.100,2.864,0.930,26.635,*
2008,3,2008-09-04,2.864,1.245,5.080,0.102,2.921,1.000,28.640,*
2008,4,2008-09-04,2.864,1.245,5.160,0.115,3.294,1.150,32.936,*
2014,1,2014-09-08,2.864,1.245,5.600,0.104,2.970,0.999,28.623,*
2014,2,2014-09-08,2.864,1.245,5.190,0.098,2.798,0.980,28.054,*
2014,3,2014-09-08,2.864,1.245,5.220,0.106,3.044,1.114,31.904,*
2014,4,2014-09-08,2.864,1.245,5.270,0.114,3.262,1.193,34.171,*
