sample_date,distance_along_strip,soil_depth,pH,Olsen_P,NaOH_RP,NaOH_TP,NaOH_UP,TP
2010-08-01,0,23,6.920,0.000,59.360,202.948,143.588,1229.764
2010-08-01,10,23,7.500,0.188,50.080,183.471,133.391,404.126
2010-08-01,20,23,7.830,0.927,55.080,176.409,121.329,574.683
2010-08-01,30,23,7.810,0.000,58.440,191.797,133.357,461.969
2010-08-01,40,23,7.820,1.501,58.280,194.079,135.799,458.369
2010-08-01,50,23,7.600,0.880,62.680,197.282,134.602,467.822
2010-08-01,55,23,7.360,0.000,57.040,189.056,132.016,1530.734
2010-08-01,60,23,6.800,0.223,63.000,195.277,132.277,489.717
2010-08-01,65,23,6.540,1.225,65.200,184.342,119.142,436.019
2010-08-01,70,23,6.370,1.330,67.880,199.209,131.329,1007.917
2010-08-01,75,23,5.490,0.366,77.240,214.928,137.688,458.288
2010-08-01,80,23,5.300,0.812,76.960,206.749,129.789,519.569
2010-08-01,85,23,4.870,0.767,90.520,220.183,129.663,478.091
2010-08-01,90,23,4.710,1.634,90.240,221.313,131.073,482.150
2010-08-01,95,23,4.500,1.906,98.240,237.733,139.493,481.973
2010-08-01,100,23,4.280,0.978,98.520,240.059,141.539,463.241
2010-08-01,105,23,4.150,1.039,107.640,252.222,144.582,1023.036
2010-08-01,110,23,4.010,0.609,106.520,249.081,142.561,400.693
2010-08-01,115,23,3.890,3.761,122.200,272.372,150.172,537.285
2010-08-01,120,23,3.830,4.008,134.160,296.511,162.351,479.333
2010-08-01,130,23,3.830,2.191,137.720,296.093,158.373,450.387
2010-08-01,140,23,3.780,1.965,134.760,285.979,151.219,551.583
2010-08-01,150,23,3.780,1.686,131.440,284.847,153.407,363.204
2010-08-01,160,23,3.800,3.798,131.520,289.674,158.154,503.525
2010-08-01,170,23,3.750,3.916,144.160,310.320,166.160,486.571
2010-08-01,180,23,3.740,1.999,152.800,321.694,168.894,553.421
2010-08-01,190,23,3.760,2.394,160.440,328.430,167.990,575.000
2010-08-01,200,23,3.730,2.526,151.160,316.527,165.367,555.984
