plot,block,sub-plot,sample_year,soil_depth,liming_factor_level,p_factor_level,k_1962-80_factor_level,exch_al,exch_ca,exch_cu,exch_fe,exch_k,exch_mg,exch_mn,exch_na,exch_zn,note_id
33,1,*,1964,0-23,0,0,0,7.994,1018.823,0.071,0.593,55.580,21.615,74.687,10.154,0.840,*
34,1,*,1964,0-23,L,0,0,0.066,1442.550,0.046,0.146,54.683,18.358,30.298,11.474,0.040,*
35,1,*,1964,0-23,H,P,K,0.028,1966.839,0.141,0.213,83.606,14.606,5.910,11.498,0.000,*
36,1,*,1964,0-23,L,0,K,0.344,1256.053,0.055,0.245,97.839,17.642,38.001,8.114,0.126,*
37,1,*,1964,0-23,M,P,0,0.000,1684.761,0.097,0.149,57.999,14.705,11.889,8.737,0.000,*
38,1,*,1964,0-23,0,0,K,13.634,886.562,0.066,0.845,104.477,19.461,74.088,10.889,0.891,*
39,1,*,1964,0-23,L,P,0,0.629,1278.977,0.046,0.221,52.092,17.421,39.365,9.397,0.147,*
40,1,*,1964,0-23,H,0,K,0.000,1863.667,0.123,0.151,92.155,13.709,6.614,8.484,0.000,*
41,1,*,1964,0-23,0,P,K,7.625,985.097,0.084,1.055,85.421,19.564,70.385,14.345,0.850,*
42,1,*,1964,0-23,M,0,0,0.075,1534.590,0.065,0.279,53.522,15.271,15.530,10.900,-0.004,*
43,1,*,1964,0-23,0,P,0,10.332,989.393,0.056,0.865,56.406,19.872,70.738,10.770,0.624,*
44,1,*,1964,0-23,M,P,K,0.038,1692.098,0.118,0.244,90.673,14.581,11.874,10.298,0.000,*
45,1,*,1964,0-23,H,P,0,0.128,1936.137,0.139,0.384,58.332,12.792,5.972,11.031,0.000,*
46,1,*,1964,0-23,L,P,K,0.865,1208.869,0.054,0.494,85.854,14.923,34.759,11.235,0.134,*
47,1,*,1964,0-23,M,0,K,0.027,1689.207,0.086,0.214,88.592,12.577,8.270,9.510,0.000,*
48,1,*,1964,0-23,H,0,0,0.030,1927.588,0.103,0.215,53.297,11.939,6.182,8.539,0.000,*
49,2,*,1964,0-23,L,0,0,0.126,1384.216,0.041,0.146,46.182,18.230,27.041,10.461,0.026,*
50,2,*,1964,0-23,L,0,K,0.000,1408.074,0.044,0.068,78.981,16.797,24.264,8.465,0.008,*
51,2,*,1964,0-23,M,P,K,0.000,1762.624,0.088,0.054,76.880,14.106,9.332,12.525,0.000,*
52,2,*,1964,0-23,0,0,K,19.029,843.125,0.070,1.091,111.874,17.610,71.401,10.531,0.782,*
53,2,*,1964,0-23,0,P,0,12.500,942.851,0.061,0.766,59.596,15.942,60.576,12.384,0.622,*
54,2,*,1964,0-23,H,P,K,0.071,1897.084,0.133,0.291,86.871,11.052,4.106,9.743,0.000,*
55,2,*,1964,0-23,0,0,0,7.905,1062.003,0.059,0.752,54.400,17.776,61.538,10.854,0.585,*
56,2,*,1964,0-23,L,P,0,0.133,1410.582,0.048,0.223,54.650,13.775,21.056,12.469,0.022,*
57,2,*,1964,0-23,H,0,K,0.012,1917.589,0.101,0.208,77.669,15.127,6.569,10.386,0.000,*
58,2,*,1964,0-23,L,P,K,0.163,1398.975,0.052,0.275,73.793,17.540,28.354,9.857,0.037,*
59,2,*,1964,0-23,H,0,0,0.000,2165.695,0.128,0.068,46.604,14.220,5.021,13.208,0.000,*
60,2,*,1964,0-23,0,P,K,6.884,1027.388,0.080,0.518,80.154,18.447,60.125,9.418,0.673,*
61,2,*,1964,0-23,M,0,0,0.000,1577.822,0.142,0.007,45.963,12.453,7.653,11.167,0.000,*
62,2,*,1964,0-23,H,P,0,0.000,1975.992,0.163,0.156,50.144,12.289,5.078,11.643,0.000,*
63,2,*,1964,0-23,M,P,0,-0.000,1599.624,0.115,0.162,47.748,11.863,8.341,9.761,0.000,*
64,2,*,1964,0-23,M,0,K,0.000,1543.893,0.122,0.163,84.519,12.472,8.983,10.338,-0.000,*
33,1,*,1967,0-23,0,0,0,13.818,881.296,0.138,1.117,45.877,18.584,79.198,8.229,1.346,*
34,1,*,1967,0-23,L,0,0,0.261,1303.132,0.128,0.247,44.838,15.748,37.231,7.076,0.259,*
35,1,*,1967,0-23,H,P,K,0.000,1992.704,0.152,0.161,90.438,13.308,10.031,7.755,0.000,*
36,1,*,1967,0-23,L,0,K,1.139,1120.366,0.102,0.321,103.428,13.885,46.096,7.411,0.470,*
37,1,*,1967,0-23,M,P,0,0.005,1545.608,0.102,0.160,48.078,12.803,18.705,8.029,0.016,*
38,1,*,1967,0-23,0,0,K,23.974,810.615,0.138,1.347,115.845,17.539,84.126,8.953,1.601,*
39,1,*,1967,0-23,L,P,0,1.409,1187.105,0.079,0.273,44.189,14.672,43.609,6.951,0.452,*
40,1,*,1967,0-23,H,0,K,0.000,1731.224,0.145,0.141,82.351,10.717,7.881,8.498,0.000,*
41,1,*,1967,0-23,0,P,K,20.604,824.047,0.119,1.122,97.485,16.267,83.225,8.729,1.357,*
42,1,*,1967,0-23,M,0,0,0.017,1490.259,0.115,0.178,41.341,12.109,17.133,25.421,0.001,*
43,1,*,1967,0-23,0,P,0,17.615,894.008,0.115,0.858,46.664,17.254,73.436,10.934,1.202,*
44,1,*,1967,0-23,M,P,K,0.144,1358.216,0.097,0.290,78.462,10.540,16.802,9.298,0.031,*
45,1,*,1967,0-23,H,P,0,0.000,1891.697,0.191,0.174,44.151,10.116,6.694,9.734,0.000,*
46,1,*,1967,0-23,L,P,K,1.435,1150.674,0.073,0.421,95.264,13.696,42.640,8.695,0.347,*
47,1,*,1967,0-23,M,0,K,0.009,1490.398,0.092,0.195,88.057,10.269,11.845,7.688,0.000,*
48,1,*,1967,0-23,H,0,0,0.000,1783.532,0.108,0.149,43.759,9.574,6.858,9.137,0.000,*
49,2,*,1967,0-23,L,0,0,0.391,1325.425,0.066,0.201,42.913,16.962,37.365,12.139,0.173,*
50,2,*,1967,0-23,L,0,K,1.000,1207.508,0.053,0.316,95.384,15.347,44.560,9.516,0.229,*
51,2,*,1967,0-23,M,P,K,0.000,1714.710,0.109,0.112,83.297,12.007,12.308,8.359,0.000,*
52,2,*,1967,0-23,0,0,K,31.311,675.550,0.173,1.468,113.536,14.859,78.373,8.700,1.501,*
53,2,*,1967,0-23,0,P,0,22.380,814.406,0.119,1.039,47.266,13.772,64.237,9.777,1.241,*
54,2,*,1967,0-23,H,P,K,0.032,1714.765,0.105,0.217,88.240,10.018,7.303,8.184,0.000,*
55,2,*,1967,0-23,0,0,0,14.622,876.304,0.153,1.058,43.770,14.765,62.730,7.334,1.355,*
56,2,*,1967,0-23,L,P,0,0.647,1244.076,0.063,0.464,42.914,11.662,29.250,6.699,0.135,*
57,2,*,1967,0-23,H,0,K,0.011,1779.045,0.131,0.162,84.944,12.456,7.580,9.870,0.000,*
58,2,*,1967,0-23,L,P,K,0.766,1260.953,0.083,0.348,85.361,14.970,37.123,11.430,0.237,*
59,2,*,1967,0-23,H,0,0,0.000,1900.121,0.139,0.125,37.969,11.226,5.810,8.530,0.000,*
60,2,*,1967,0-23,0,P,K,15.491,915.774,0.100,0.981,95.733,16.150,66.499,8.487,0.948,*
61,2,*,1967,0-23,M,0,0,0.000,1532.241,0.122,0.156,42.298,11.273,11.305,10.577,-0.002,*
62,2,*,1967,0-23,H,P,0,0.000,1759.208,0.181,0.105,38.373,9.743,5.706,13.068,0.000,*
63,2,*,1967,0-23,M,P,0,0.000,1612.235,0.170,0.222,42.537,11.370,12.780,10.507,0.005,*
64,2,*,1967,0-23,M,0,K,0.000,1493.291,0.102,0.089,86.149,10.078,9.922,13.477,0.000,*
33,1,332.000,1974,0-23,0,0,0,59.399,527.043,0.091,4.971,50.634,16.783,97.819,5.742,1.240,1.000
34,1,342.000,1974,0-23,L,0,0,4.007,1032.782,0.099,0.482,41.637,17.369,64.713,7.853,0.923,1.000
35,1,351.000,1974,0-23,H,P,K,0.000,1456.319,0.104,0.000,91.162,14.103,16.443,9.305,0.003,1.000
36,1,362.000,1974,0-23,L,0,K,7.252,795.887,0.079,0.374,132.247,14.673,63.488,5.694,1.005,1.000
37,1,372.000,1974,0-23,M,P,0,0.379,1276.118,0.050,0.000,41.708,13.031,35.226,7.706,0.209,1.000
38,1,381.000,1974,0-23,0,0,K,59.911,467.127,0.081,2.239,141.370,14.088,89.205,3.713,1.178,1.000
39,1,391.000,1974,0-23,L,P,0,9.442,938.362,0.229,0.255,42.696,17.198,64.869,6.709,1.974,1.000
40,1,402.000,1974,0-23,H,0,K,0.000,1283.787,0.088,0.000,98.948,10.338,16.350,6.448,0.051,1.000
41,1,412.000,1974,0-23,0,P,K,36.409,623.922,0.431,0.961,105.507,13.169,83.694,5.666,2.583,1.000
42,1,421.000,1974,0-23,M,0,0,0.415,1196.519,0.104,0.131,40.648,13.140,37.973,6.677,0.381,1.000
43,1,431.000,1974,0-23,0,P,0,29.937,752.089,0.377,0.836,43.661,15.614,80.825,5.971,2.181,1.000
44,1,442.000,1974,0-23,M,P,K,0.927,1020.570,0.014,0.217,101.555,10.122,33.363,4.663,0.137,1.000
45,1,451.000,1974,0-23,H,P,0,0.000,1528.590,0.179,0.000,43.912,12.355,15.830,6.555,0.041,1.000
46,1,462.000,1974,0-23,L,P,K,6.116,855.515,0.126,0.230,112.044,11.858,51.246,5.799,1.145,1.000
47,1,472.000,1974,0-23,M,0,K,0.115,1102.630,0.129,0.005,110.743,10.527,27.389,6.055,0.342,1.000
48,1,481.000,1974,0-23,H,0,0,0.000,1405.931,0.018,0.000,37.406,8.618,8.402,9.545,0.000,1.000
49,2,491.000,1974,0-23,L,0,0,5.343,1001.864,0.175,0.233,38.359,18.246,63.207,6.660,1.340,1.000
50,2,501.000,1974,0-23,L,0,K,5.896,884.073,0.034,0.213,122.411,14.616,60.187,4.694,0.527,1.000
51,2,512.000,1974,0-23,M,P,K,0.004,1252.104,0.081,0.000,83.855,9.711,21.865,6.206,0.079,1.000
52,2,521.000,1974,0-23,0,0,K,58.670,455.106,0.400,1.682,144.273,12.305,83.641,6.409,2.029,1.000
53,2,531.000,1974,0-23,0,P,0,60.177,565.627,0.221,3.279,47.240,13.732,77.954,5.587,1.521,1.000
54,2,542.000,1974,0-23,H,P,K,0.054,1314.352,0.023,0.161,107.432,9.777,15.674,5.097,0.003,1.000
55,2,551.000,1974,0-23,0,0,0,42.332,601.421,0.414,1.136,45.892,15.228,74.960,6.531,2.394,1.000
56,2,562.000,1974,0-23,L,P,0,5.337,1017.584,0.016,0.154,36.692,12.173,44.420,6.781,0.397,1.000
57,2,572.000,1974,0-23,H,0,K,0.000,1349.205,0.061,0.000,79.741,13.020,19.206,5.384,0.030,1.000
58,2,581.000,1974,0-23,L,P,K,4.242,921.820,0.096,0.235,100.103,12.132,47.016,5.109,0.738,1.000
59,2,591.000,1974,0-23,H,0,0,0.000,1391.109,0.071,0.030,34.362,11.032,13.895,6.287,0.008,1.000
60,2,601.000,1974,0-23,0,P,K,32.861,722.396,0.112,1.155,114.837,14.227,76.292,5.455,1.308,1.000
61,2,612.000,1974,0-23,M,0,0,0.004,1315.609,0.045,0.013,34.609,11.681,19.739,6.388,0.043,1.000
62,2,622.000,1974,0-23,H,P,0,0.000,1563.853,0.093,0.087,32.561,9.902,7.359,6.420,0.000,1.000
63,2,631.000,1974,0-23,M,P,0,0.203,1232.239,0.075,0.064,34.309,11.927,22.800,5.825,0.114,1.000
64,2,642.000,1974,0-23,M,0,K,0.006,1254.399,0.064,0.136,107.286,10.950,20.561,5.421,0.063,1.000
33,1,332.000,1979,0-23,0,0,0,87.407,447.362,0.123,2.434,66.182,20.394,96.731,6.304,1.316,1.000
34,1,342.000,1979,0-23,L,0,0,3.767,1005.905,0.014,0.235,48.733,24.228,65.020,6.493,0.414,1.000
35,1,351.000,1979,0-23,H,P,K,0.000,1588.668,0.032,0.082,118.038,17.594,12.122,5.039,0.000,1.000
36,1,362.000,1979,0-23,L,0,K,6.975,898.220,0.018,0.334,158.534,22.148,68.314,5.634,0.567,1.000
37,1,372.000,1979,0-23,M,P,0,0.605,1249.307,0.002,0.070,45.805,19.360,40.117,7.578,0.133,1.000
38,1,381.000,1979,0-23,0,0,K,72.807,328.368,0.077,2.089,139.503,17.161,80.294,4.096,1.191,1.000
