site,plot,block,sub_plot,harvest_year,crop_type,liming_factor_level,p_factor_level,k_factor_level,mn_factor_level,k_basal_rate,yield,%_dry_matter,ca,k,mg,na,p,s,al,as,cd,co,cr,cu,fe,mn,mo,ni,pb,se,ti,zn,note
Woburn,33,1,332,1978,spring barley,0,0,0,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Woburn,34,1,342,1978,spring barley,L,0,0,-,0,3.810,85,572.770,5332.661,1129.994,106.076,3398.804,1474.951,5.942,0.117,0.020,0.015,0.484,4.528,36.752,16.304,0.124,0.564,0.161,0.022,1.838,21.169,0
Woburn,35,1,351,1978,spring barley,H,P,K,-,0,5.520,85,491.330,4912.333,1043.626,46.761,3057.902,1213.229,6.998,0.114,0.017,0.014,0.640,2.972,37.619,12.616,0.270,0.372,0.173,0.025,1.779,15.980,0
Woburn,36,1,362,1978,spring barley,L,0,K,-,0,2.340,85,501.792,5439.040,989.572,53.612,2916.409,1314.899,6.949,0.112,0.032,0.017,0.495,3.745,38.785,23.978,0.172,0.448,0.189,0.021,1.764,19.381,0
Woburn,37,1,372,1978,spring barley,M,P,0,-,0,4.350,85,591.812,4960.419,1128.083,142.835,3241.198,1442.260,9.899,0.077,0.027,0.016,0.486,3.385,38.613,14.447,0.193,0.373,0.194,0.019,1.948,19.647,0
Woburn,38,1,381,1978,spring barley,0,0,K,-,0,0.000,85,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
Woburn,39,1,391,1978,spring barley,L,P,0,-,0,3.250,85,675.258,5862.991,1100.854,167.327,3028.746,1527.937,43.080,0.110,0.052,0.029,0.551,3.325,50.215,25.310,0.158,1.286,0.432,0.017,1.687,19.451,0
Woburn,40,1,402,1978,spring barley,H,0,K,-,0,5.030,85,560.900,5822.771,1095.940,55.287,3424.160,1253.579,12.971,0.116,0.013,0.132,0.664,4.326,68.969,11.163,0.477,0.413,0.356,0.024,2.125,23.077,0
Woburn,41,1,412,1978,spring barley,0,P,K,-,0,1.170,85,480.990,5600.313,907.862,74.543,2659.927,1302.838,7.540,0.105,0.064,0.038,0.488,2.979,37.380,41.812,0.154,0.544,0.222,0.019,1.632,16.362,0
Woburn,42,1,421,1978,spring barley,M,0,0,-,0,4.470,85,546.402,4976.082,1105.868,108.953,3361.626,1452.348,5.695,0.099,0.019,0.012,0.476,5.041,31.554,15.387,0.151,0.373,0.162,0.016,2.006,25.225,0
