plot,block,sub-plot,sample_year,sample_date,plough_date,soil_depth,crop,lime_date,liming_factor_level,annual_lime,cumulative_lime,p_factor_level,k_1962-80_factor_level,mg_1974-78_factor_level,mn_1987-90_factor_level,s_1991-96_factor_level,soil_pH,olsen_p,exch_ca,exch_k,exch_mg,exch_na,exch_mn,note_id
33,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.900,*,*,*,*,*,*,1
34,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
35,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
36,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.700,*,*,*,*,*,*,1
37,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
38,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
39,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
40,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.100,*,*,*,*,*,*,1
41,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
42,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.700,*,*,*,*,*,*,1
43,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
44,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.700,*,*,*,*,*,*,1
45,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.700,*,*,*,*,*,*,1
46,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.900,*,*,*,*,*,*,1
47,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
48,1,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
49,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.100,*,*,*,*,*,*,1
50,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.200,*,*,*,*,*,*,1
51,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
52,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.600,*,*,*,*,*,*,1
53,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.800,*,*,*,*,*,*,1
54,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,5.900,*,*,*,*,*,*,1
55,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
56,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.200,*,*,*,*,*,*,1
57,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
58,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
59,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.100,*,*,*,*,*,*,1
60,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.000,*,*,*,*,*,*,1
61,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.300,*,*,*,*,*,*,1
62,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.200,*,*,*,*,*,*,1
63,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.100,*,*,*,*,*,*,1
64,2,*,baseline,1962-03-02 00:00:00,1961-11-24,0-25,*,*,*,*,*,*,*,*,*,*,6.200,*,*,*,*,*,*,1
33,1,*,baseline,1962-03-02 00:00:00,1961-11-24,25-36,*,*,*,*,*,*,*,*,*,*,5.900,*,*,*,*,*,*,1
