site,plot,block,sub-plot,harvest_year,liming_factor_level,lime_date,annual_lime ,cumulative_lime ,p_factor_level,p_rate_annual,p_rate_cumulative,k_factor_level,k_rate_annual,mg_factor_level,mg_rate_annual,mn_factor_level,mn_rate_annual,s_factor_level,s_rate_annual,n_basal_rate,k_basal_rate,mg_basal_rate,crop,variety,sow_date,harvest_date,yield,%_dry_matter,note
Woburn,33,1,-,1962,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,1.645,85.000,1
Woburn,34,1,-,1962,L,1962-03-09,5.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.410,85.000,1
Woburn,35,1,-,1962,H,1962-03-09,15.000,15.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.799,85.000,1
Woburn,36,1,-,1962,L,1962-03-09,5.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.410,85.000,1
Woburn,37,1,-,1962,M,1962-03-09,10.000,10.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.360,85.000,1
Woburn,38,1,-,1962,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,1.645,85.000,1
Woburn,39,1,-,1962,L,1962-03-09,5.000,5.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.360,85.000,1
Woburn,40,1,-,1962,H,1962-03-09,15.000,15.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.724,85.000,1
Woburn,41,1,-,1962,0,*,0.000,0.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.084,85.000,1
Woburn,42,1,-,1962,M,1962-03-09,10.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.435,85.000,1
Woburn,43,1,-,1962,0,*,0.000,0.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.084,85.000,1
Woburn,44,1,-,1962,M,1962-03-09,10.000,10.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.360,85.000,1
Woburn,45,1,-,1962,H,1962-03-09,15.000,15.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.799,85.000,1
Woburn,46,1,-,1962,L,1962-03-09,5.000,5.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.360,85.000,1
Woburn,47,1,-,1962,M,1962-03-09,10.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-19,1962-09-20,2.435,85.000,1
