harvest_year,plot,sub_plot,block,treatment,cultivation_direction,tillage,residue_management,plot_area,crop_type,cultivar,N_fert_date_1,N_fert_kg/ha_1,N_fert_type_1,N_fert_date_2,N_fert_kg/ha_2,N_fert_type_2,P_fert_date_1,P_fert_kg/ha_1,P_fert_type_1,P_fert_date_2,P_fert_kg/ha_2,P_fert_type_2,K_fert_date_1,K_fert_kg/ha_1,K_fert_type_1,K_fert_date_2,K_fert_kg/ha_2,K_fert_type_2,sowing_date,harvest_date,grain_yield,straw_yield,tuber_yield,ware_%,clean_beet,sugar_%,total_sugar,ACB,KM,NAM,AN,ANS,fodder_beet_fresh_wt,fodder_beet_dry_wt,fodder_beet_%DM,note_id
1988,1,*,1,T1,U,M,straw chopped and incorporated,765,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.250,2.560,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,2,*,1,T4,A,S,straw baled and removed,827,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.610,2.680,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,3,*,1,T3,A,M,straw chopped and incorporated,822,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.380,2.660,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,4,*,1,T2,U,S,straw baled and removed,844,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,4.620,0.970,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,5,*,2,T4,A,S,straw baled and removed,782,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.440,1.980,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,6,*,2,T1,U,M,straw chopped and incorporated,820,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.100,1.070,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,7,*,2,T2,U,S,straw baled and removed,897,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,4.620,1.310,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1988,8,*,2,T3,A,M,straw chopped and incorporated,955,	spring barley,Klaxon,1988-05-05,117,Nitram,*,0,*,*,0,*,*,0,*,*,0,*,*,0,*,1988-03-30,1988-08-17,5.110,0.760,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1989,1,*,1,T1,U,M,potato haulm chopped and incorporated,765,	potatoes,Estima,1989-05-03,234,compound 13:13:20,*,0,*,1989-05-03,102,compound 13:13:20,*,0,*,1989-05-03,299,compound 13:13:20,*,0,*,1989-05-10,1989-10-10,*,*,33.700,88.800,*,*,*,*,*,*,*,*,*,*,*,4
1989,2,*,1,T4,A,S,potato haulm removed,827,	potatoes,Estima,1989-05-03,234,compound 13:13:20,*,0,*,1989-05-03,102,compound 13:13:20,*,0,*,1989-05-03,299,compound 13:13:20,*,0,*,1989-05-10,1989-10-10,*,*,34.200,85.700,*,*,*,*,*,*,*,*,*,*,*,4
