year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1938,1,1,FYM,arable,Ah,AB,1.508,0.929,*,1.000
1938,1,2,none,arable,Ah,AB,1.508,0.929,*,1.000
1938,1,3,none,ley_arable,Lu,LC3,1.508,0.929,*,1.000
1938,1,4,FYM,ley_arable,Lu,LC3,1.508,0.929,*,1.000
1938,1,5,FYM,arable,Ar,AF,1.508,0.929,*,1.000
1938,1,6,none,arable,Ar,AF,1.508,0.929,*,1.000
1938,1,7,none,alternating,L/Ah,LC8,1.508,0.929,*,1.000
1938,1,8,FYM,alternating,L/Ah,LC8,1.508,0.929,*,1.000
1938,1,9,none,alternating,Ar/Lu,LN8,1.508,0.929,*,1.000
1938,1,10,FYM,alternating,Ar/Lu,LN8,1.508,0.929,*,1.000
1938,1,11,FYM,alternating,Lu/Ar,LN8,1.508,0.929,*,1.000
1938,1,12,none,alternating,Lu/Ar,LN8,1.508,0.929,*,1.000
1938,1,13,FYM,ley_arable,L,LN3,1.508,0.929,*,1.000
1938,1,14,none,ley_arable,L,LN3,1.508,0.929,*,1.000
1938,1,15,none,alternating,Ah/L,LC8,1.508,0.929,*,1.000
1938,1,16,FYM,alternating,Ah/L,LC8,1.508,0.929,*,1.000
1938,2,17,none,arable,Ah,AB,1.508,0.888,*,1.000
1938,2,18,FYM,arable,Ah,AB,1.508,0.888,*,1.000
1938,2,19,none,arable,Ar,AF,1.508,0.888,*,1.000
1938,2,20,FYM,arable,Ar,AF,1.508,0.888,*,1.000
1938,2,21,FYM,alternating,Ah/L,LC8,1.508,0.888,*,1.000
1938,2,22,none,alternating,Ah/L,LC8,1.508,0.888,*,1.000
1938,2,23,none,alternating,L/Ah,LC8,1.508,0.888,*,1.000
1938,2,24,FYM,alternating,L/Ah,LC8,1.508,0.888,*,1.000
1938,2,25,FYM,alternating,Lu/Ar,LN8,1.508,0.888,*,1.000
1938,2,26,none,alternating,Lu/Ar,LN8,1.508,0.888,*,1.000
1938,2,27,none,alternating,Ar/Lu,LN8,1.508,0.888,*,1.000
1938,2,28,FYM,alternating,Ar/Lu,LN8,1.508,0.888,*,1.000
1938,2,29,none,ley_arable,Lu,LC3,1.508,0.888,*,1.000
1938,2,30,FYM,ley_arable,Lu,LC3,1.508,0.888,*,1.000
1938,2,31,none,ley_arable,L,LN3,1.508,0.888,*,1.000
1938,2,32,FYM,ley_arable,L,LN3,1.508,0.888,*,1.000
1938,3,33,FYM,ley_arable,Lu,LC3,1.508,0.985,*,1.000
1938,3,34,none,ley_arable,Lu,LC3,1.508,0.985,*,1.000
1938,3,35,FYM,alternating,Ar/Lu,LN8,1.508,0.985,*,1.000
1938,3,36,none,alternating,Ar/Lu,LN8,1.508,0.985,*,1.000
1938,3,37,none,alternating,Lu/Ar,LN8,1.508,0.985,*,1.000
1938,3,38,FYM,alternating,Lu/Ar,LN8,1.508,0.985,*,1.000
1938,3,39,FYM,arable,Ar,AF,1.508,0.985,*,1.000
1938,3,40,none,arable,Ar,AF,1.508,0.985,*,1.000
1938,3,41,NONE,alternating,L/Ah,LC8,1.508,0.985,*,1.000
1938,3,42,FYM,alternating,L/Ah,LC8,1.508,0.985,*,1.000
1938,3,43,none,ley_arable,L,LN3,1.508,0.985,*,1.000
1938,3,44,FYM,ley_arable,L,LN3,1.508,0.985,*,1.000
1938,3,45,none,arable,Ah,AB,1.508,0.985,*,1.000
1938,3,46,FYM,arable,Ah,AB,1.508,0.985,*,1.000
1938,3,47,none,alternating,Ah/L,LC8,1.508,0.985,*,1.000
1938,3,48,FYM,alternating,Ah/L,LC8,1.508,0.985,*,1.000
1938,4,49,FYM,alternating,Ah/L,LC8,1.508,1.114,*,1.000
1938,4,50,none,alternating,Ah/L,LC8,1.508,1.114,*,1.000
