year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1976,3,33,1,33.100,FYM,FA:N2,N126,126,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.432,*
1976,3,33,2,33.200,FYM,FA:N1,N63,63,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.522,*
1976,3,33,3,33.300,FYM,FA:N0,N0,0,0,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,3.528,*
1976,3,33,4,33.400,FYM,FA:N3,N189,189,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.573,*
1976,3,34,1,34.100,none,FA:N3,N189,189,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.657,*
1976,3,34,2,34.200,none,FA:N1,N63,63,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.888,*
1976,3,34,3,34.300,none,FA:N2,N126,126,1,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.708,*
1976,3,34,4,34.400,none,FA:N0,N0,0,0,Lu,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.811,*
1976,3,37,1,37.100,none,FA:N1,N63,63,1,Ah_alt,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.708,*
1976,3,37,2,37.200,none,FA:N2,N126,126,1,Ah_alt,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.630,*
1976,3,37,3,37.300,none,FA:N3,N189,189,1,Ah_alt,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.567,*
1976,3,37,4,37.400,none,FA:N0,N0,0,0,Ah_alt,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.675,*
1976,3,38,1,38.100,FYM,FA:N0,N0,0,0,Ah_alt,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.934,*
