factor_label,description,factor_level_name,factor_level_code,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Nil N application 1976-1981,Nil N rate 1976-1981,FA:N0,N0,1976-1981,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,0,,,,
single N application 1976-1981,"Low N rate, single application 1976-1981",FA:N1,N63,1976-1981,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,63,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
single N application 1976-1981,"Medium N rate, single application 1976-1981",FA:N2,N126,1976-1981,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,126,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
single N application 1976-1981,"High N rate, single application 1976-1981",FA:N3,N189,1976-1981,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,189,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
Nil N application 1982-2006,Nil N rate 1982-2006,FB:N0,N0,1982-2006,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,0,,,,
single N application 1982-2006,"Low N rate, single application 1982-2006",FB:N1,N70,1982-2006,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,70,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
single N application 1982-2006,"Medium N rate, single application 1982-2006",FB:N2,N140,1982-2006,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,140,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
single N application 1982-2006,"High N rate, single application 1982-2006",FB:N3,N210,1982-2006,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,210,kg N ha-1,single application in spring,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
Nil N application 2001-2005,Nil N rate 2001-2005,FC:N0,N0,2001-2005,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,0,,,,
split N application 2001-2005,"Low N rate, split application 2001-2005, applied to plots which didn't receive FYM",FC:N1,N30+40,2001-2005,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,70,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23997
split N application 2001-2005,"Medium N rate, split application 2001-2005, applied to plots which didn't receive FYM",FC:N2,N40+100,2001-2005,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,140,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
split N application 2001-2005,"High N rate, split application 2001-2005, applied to plots which didn't receive FYM",FC:N3,N40+170,2001-2005,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,210,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
Nil N application 2007,Nil N rate 2007,FD:N0,N0,2007,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,0,,,,
split N application 2007,"Low N rate, split application 2007. First application incorrectly received total amount, and planned amount applied in 2nd application, so total was 120 instead of planned 80 kgN/ha",FD:N1,N80+40,2007,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,120,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
split N application 2007,"Medium N rate, split application 2007. First application incorrectly received total amount, and planned amount applied in 2nd application, so total was 280 instead of planned 160 kgN/ha",FD:N2,N160+120,2007,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,280,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
split N application 2007,"High N rate, split application 2007. First application incorrectly received total amount, andplanned amount applied in 2nd application, so total was 440 instead of planned 240 kgN/ha",FD:N3,N240+200,2007,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,440,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
Nil N application 2008-2018,Nil N rate 2007,FE:N0,N0,2008-2018,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,0,,,,
split N application 2008-2018,"Low N rate, split application 2008-2018",FE:N1,N40+40,2008-2018,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,80,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
split N application 2008-2018,"Medium N rate, split application 2008-2018",FE:N2,N40+120,2008-2018,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,160,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
split N application 2008-2018,"High N rate, split application 2008-1018",FE:N3,N40+200,2008-2018,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,two spring applications,Nitro-chalk ,http://aims.fao.org/aos/agrovoc/c_23998
