harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1876,1,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,2,a,i,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,2,a,ii,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,2,b,i,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,2,b,ii,N2,L0,nil,0.000,0,nil,0,N2,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,3,a,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,3,a,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,3,b,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,3,b,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,4,a,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,4,b,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,5,a,i,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,5,a,ii,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,5,b,*,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,6,*,*,N2*PKNaMg,L0,nil,0.000,0,nil,0,N2*,46,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,8,a,i,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,8,a,ii,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,8,b,i,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,8,b,ii,N4PKNaMg,L0,nil,0.000,0,nil,0,N4,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,9,a,*,N4*PKNaMg,L0,nil,0.000,0,nil,0,N4*,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,9,b,*,N4*PKNaMg,L0,nil,0.000,0,nil,0,N4*,92,P2,34,K3,90,Na,16,Mg,11,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,10,a,*,FYM1,L0,FYM1,10.000,61,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,10,b,*,FYM1,L0,FYM1,10.000,61,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
1876,11,a,*,FYM2,L0,FYM2,20.000,122,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.490,0.156,9.551,1560.000,748.000,306.000,203.000,1
