harvest_year,crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_type,fertilizer_n_date,fertilizer_p_amount,fertilizer_k_amount,sow_date,harvest_date,cultivar,plot_area,bushel_weight,hectolitre_weight,grain_yield,straw_yield,note_id
1927,fallow,1,*,*,1,None,0.000,*,*,0,0,*,*,*,0.100,*,*,*,*,10
1928,fallow,1,*,*,1,None,0.000,*,*,0,0,*,*,*,0.100,*,*,*,*,10
1929,spring barley,1,*,*,1,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.100,22.861,62.860,1.197,1.559,*
1930,spring barley,1,*,*,1,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.100,21.909,60.241,0.764,0.866,*
1931,spring barley,1,*,*,1,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.050,20.639,56.748,0.499,1.337,"1,3"
1931,spring barley,1,*,*,1,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.050,22.000,60.490,0.750,1.680,"1,3"
1932,spring barley,1,*,*,1,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.050,19.369,53.256,0.025,0.282,"3,4"
1932,spring barley,1,*,*,1,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.050,20.049,55.127,0.019,0.349,"3,5"
1933,spring barley,1,*,*,1,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.100,*,*,0.011,0.523,6
1934,fallow,1,*,*,1,None,0.000,*,*,0,0,*,*,*,0.100,*,*,*,*,10
1935,fallow,1,*,*,1,None,0.000,*,*,0,0,*,*,*,0.100,*,*,*,*,10
1936,spring barley,1,*,*,1,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.100,21.682,59.617,1.087,1.956,7
1937,spring barley,1,*,*,1,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.100,19.505,53.630,0.077,0.368,8
1938,spring barley,1,*,*,1,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.100,22.544,61.987,0.966,0.900,*
1939,spring barley,1,*,*,1,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.100,*,*,0.431,1.200,*
1940,spring barley,1,*,*,1,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.100,*,*,0.024,0.392,*
1941,spring barley,1,*,*,1,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.100,*,*,0.318,1.004,*
1942,spring barley,1,*,*,1,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.100,*,*,0.217,0.541,*
1927,fallow,2,a,i,2a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,2,a,i,2a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,*,*,0.152,0.328,*
1930,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,*,*,0.070,0.123,*
1931,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,*,*,0.000,0.000,"1,3"
1931,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,*,*,0.000,0.000,"1,3"
1932,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,*,*,0.000,0.000,"3,4"
