harvest_year,crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_date,sow_date,harvest_date,cultivar,plot_area,bushel_weight,hectolitre_weight,grain_yield,straw_yield,note_id
1927,fallow,1,*,*,1,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1927,fallow,2,a,i,2a,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,2,a,ii,2aa,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,2,b,i,2b,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,2,b,ii,2bb,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,3,a,*,3a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,3,b,*,3b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,4,*,*,4,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1927,fallow,5,a,*,5a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,5,b,*,5b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,6,*,*,6,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1927,fallow,7,*,*,7,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1927,fallow,8,a,i,8a,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,8,a,ii,8aa,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,8,b,i,8b,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,8,b,ii,8bb,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1927,fallow,9,a,*,9a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,9,b,*,9b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,10,a,*,10a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,10,b,*,10b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,11,a,*,11a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1927,fallow,11,b,*,11b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,1,*,*,1,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1928,fallow,2,a,i,2a,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,2,a,ii,2aa,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,2,b,i,2b,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,2,b,ii,2bb,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,3,a,*,3a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,3,b,*,3b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,4,*,*,4,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1928,fallow,5,a,*,5a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,5,b,*,5b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,6,*,*,6,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1928,fallow,7,*,*,7,None,0.000,*,*,*,*,0.101,*,*,*,*,1.000
1928,fallow,8,a,i,8a,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,8,a,ii,8aa,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,8,b,i,8b,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,8,b,ii,8bb,None,0.000,*,*,*,*,0.025,*,*,*,*,1.000
1928,fallow,9,a,*,9a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,9,b,*,9b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,10,a,*,10a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,10,b,*,10b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,11,a,*,11a,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1928,fallow,11,b,*,11b,None,0.000,*,*,*,*,0.051,*,*,*,*,1.000
1929,winter wheat,1,*,*,1,None,0.000,*,1928-10-31,1929-08-20,Million,0.101,26.853,73.835,0.750,1.394,*
1929,winter wheat,2,a,i,2a,None,0.000,*,1928-10-31,1929-08-20,Million,0.025,*,*,0.018,0.077,*
1929,winter wheat,2,a,ii,2aa,None,0.000,*,1928-10-31,1929-08-20,Million,0.025,*,*,0.112,0.193,*
1929,winter wheat,2,b,i,2b,None,0.000,*,1928-10-31,1929-08-20,Million,0.025,*,*,0.072,0.157,*
1929,winter wheat,2,b,ii,2bb,None,0.000,*,1928-10-31,1929-08-20,Million,0.025,*,*,0.354,0.528,*
1929,winter wheat,3,a,*,3a,None,0.000,*,1928-10-31,1929-08-20,Million,0.051,26.536,72.962,0.861,1.042,*
1929,winter wheat,3,b,*,3b,None,0.000,*,1928-10-31,1929-08-20,Million,0.051,25.855,71.091,0.619,0.820,*
1929,winter wheat,4,*,*,4,None,0.000,*,1928-10-31,1929-08-20,Million,0.101,27.488,75.581,1.219,2.056,*
1929,winter wheat,5,a,*,5a,None,0.000,*,1928-10-31,1929-08-20,Million,0.051,26.626,73.212,0.733,1.044,*
