harvest_year,crop,previous_crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_date,sow_date,harvest_date,cultivar,plot_area,grain_yield,straw_yield,note_id
1943,winter wheat,winter wheat,1,*,*,1,N2,78.470,*,*,*,Red Standard,0.101,*,*,1.000
1943,fallow,winter wheat,2,*,*,2,*,0.000,*,*,*,*,0.101,*,*,1.000
1943,winter wheat,winter wheat,3,*,*,3,N1,39.235,*,*,*,Red Standard,0.101,*,*,1.000
1943,winter wheat,winter wheat,4,*,*,4,N3,117.705,*,*,*,Red Standard,0.101,*,*,1.000
1943,fallow,winter wheat,5,*,*,5,*,0.000,*,*,*,*,0.101,*,*,1.000
1943,winter wheat,winter wheat,6,*,*,6,N1,39.235,*,*,*,Red Standard,0.101,*,*,1.000
1943,winter wheat,winter wheat,7,*,*,7,N3,117.705,*,*,*,Red Standard,0.101,*,*,1.000
1943,fallow,winter wheat,8,*,*,8,*,0.000,*,*,*,*,0.101,*,*,1.000
1943,winter wheat,winter wheat,9,*,*,9,N2,78.470,*,*,*,Red Standard,0.101,*,*,1.000
1943,winter wheat,winter wheat,10,a,*,10a,N2,78.470,*,*,*,Red Standard,0.051,*,*,1.000
1943,winter wheat,winter wheat,10,b,*,10b,N3,117.705,*,*,*,Red Standard,0.051,*,*,1.000
1943,winter wheat,winter wheat,11,a,*,11a,N1,39.235,*,*,*,Red Standard,0.051,*,*,1.000
1943,winter wheat,winter wheat,11,b,1,11b,N3,117.705,*,*,*,Red Standard,0.017,*,*,1.000
1943,winter wheat,winter wheat,11,b,2,11b,N1,39.235,*,*,*,Red Standard,0.017,*,*,1.000
1943,winter wheat,winter wheat,11,b,3,11b,N2,78.470,*,*,*,Red Standard,0.017,*,*,1.000
1944,winter wheat,winter wheat,1,*,*,1,N2,78.470,1944-03-27,1943-09-27 00:00:00,1944-08-15 00:00:00,Red Standard,0.101,2.221,5.476,*
1944,fallow,fallow,2,*,*,2,*,0.000,*,*,*,*,*,*,*,*
1944,winter wheat,winter wheat,3,*,*,3,N1,39.235,1944-03-27,1943-09-27 00:00:00,1944-08-15 00:00:00,Red Standard,0.101,2.535,6.063,*
1944,winter wheat,winter wheat,4,*,*,4,N3,117.705,1944-03-27,1943-09-27 00:00:00,1944-08-15 00:00:00,Red Standard,0.101,2.358,4.898,*
1944,fallow,fallow,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
